iteration,0,1,2,3,4,5,6,7,8,9,10,11
2530,29686,8928,9770,6661,1636,313,68,12,2,1,0,0
2540,29685,8859,9870,6653,1635,290,71,10,3,1,0,0
2550,29552,9026,9916,6594,1612,292,70,11,4,0,0,0
2560,29482,9103,9924,6606,1590,302,55,12,3,0,0,0
2570,29629,8982,9773,6680,1635,317,46,13,1,1,0,0
2580,29730,8870,9784,6595,1719,311,55,11,2,0,0,0
2590,29659,8887,9885,6616,1675,281,58,9,7,0,0,0
2600,29657,8927,9833,6634,1654,291,60,17,4,0,0,0
2610,29580,8946,9944,6654,1583,294,58,13,5,0,0,0
2620,29601,9077,9755,6576,1672,317,67,9,3,0,0,0
2630,29568,9096,9788,6590,1645,308,60,21,1,0,0,0
2640,29524,9090,9894,6539,1665,290,58,12,5,0,0,0
2650,29598,9049,9797,6554,1711,294,63,8,3,0,0,0
2660,29651,8949,9843,6574,1686,289,65,19,1,0,0,0
2670,29673,8932,9765,6694,1631,298,72,9,3,0,0,0
2680,29706,8864,9863,6596,1649,309,76,10,4,0,0,0
2690,29658,8966,9737,6708,1638,283,66,19,1,1,0,0
2700,29736,8918,9651,6717,1672,301,64,15,3,0,0,0
2710,29674,8997,9702,6645,1666,305,69,15,3,1,0,0
2720,29661,8941,9782,6669,1642,311,58,10,3,0,0,0
2730,29667,8937,9791,6647,1664,286,67,15,3,0,0,0
2740,29673,8911,9825,6650,1625,315,60,14,3,1,0,0
2750,29598,9059,9759,6630,1640,312,66,10,3,0,0,0
2760,29634,8950,9872,6581,1661,298,65,12,4,0,0,0
2770,29611,9037,9758,6634,1667,285,69,13,3,0,0,0
2780,29727,8953,9686,6625,1656,343,73,12,2,0,0,0
2790,29709,8876,9750,6737,1629,296,69,8,3,0,0,0
2800,29686,8912,9826,6563,1718,297,62,9,4,0,0,0
2810,29657,8970,9779,6614,1669,313,61,12,2,0,0,0
2820,29590,9029,9790,6641,1692,259,55,16,5,0,0,0
2830,29609,9023,9766,6653,1671,270,68,15,2,0,0,0
2840,29718,8883,9742,6695,1668,295,59,12,5,0,0,0
2850,29717,8882,9720,6707,1720,249,66,15,1,0,0,0
2860,29635,8998,9786,6597,1689,292,65,10,5,0,0,0
2870,29578,9046,9829,6574,1690,282,66,11,1,0,0,0
2880,29597,9030,9813,6600,1661,300,58,15,3,0,0,0
2890,29693,8937,9717,6725,1605,310,74,12,3,1,0,0
2900,29735,8901,9685,6701,1668,307,65,14,1,0,0,0
2910,29703,8925,9751,6636,1670,306,71,14,1,0,0,0
2920,29654,8975,9778,6635,1641,304,74,15,1,0,0,0
2930,29730,8887,9789,6581,1687,317,68,16,2,0,0,0
2940,29704,8944,9699,6677,1654,323,64,7,5,0,0,0
2950,29650,8976,9753,6691,1619,303,67,16,1,1,0,0
2960,29687,8936,9749,6637,1696,300,58,12,2,0,0,0
2970,29625,9006,9760,6689,1602,312,68,13,1,1,0,0
2980,29559,9095,9783,6608,1663,289,65,15,0,0,0,0
2990,29652,8965,9796,6631,1645,301,71,12,4,0,0,0
3000,29665,8905,9840,6669,1608,303,73,12,2,0,0,0
