iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
1490,1540817165752,27468,-1.009965919e+06,695,2198,4048,5419,48,61,45713,10296,1031,37,0,0,0
1500,1540817215172,27385,-1.011463971e+06,745,2283,4106,5504,50,66,45486,10460,1099,32,0,0,0
1510,1540817261213,27349,-1.011898785e+06,791,2297,4130,5481,46,71,45462,10450,1129,36,0,0,0
1520,1540817308821,27348,-1.011598297e+06,747,2361,4143,5459,37,61,45474,10436,1129,38,0,0,0
1530,1540817354282,27359,-1.011103108e+06,711,2313,4094,5426,59,72,45498,10508,1046,25,0,0,0
1540,1540817402201,27371,-1.010278926e+06,734,2227,4077,5474,46,55,45510,10565,958,44,0,0,0
1550,1540817448174,27213,-1.011474193e+06,748,2204,4033,5630,40,71,45416,10623,1011,27,0,0,0
1560,1540817496471,27367,-1.010881228e+06,674,2255,3983,5602,47,72,45536,10490,1011,39,1,0,0
1570,1540817542246,27450,-1.009794726e+06,689,2199,3888,5568,53,58,45643,10443,961,30,0,0,0
1580,1540817590000,27407,-1.010937381e+06,724,2287,3955,5574,53,68,45541,10445,1057,34,0,0,0
1590,1540817635451,27434,-1.010512731e+06,734,2270,3960,5529,46,50,45591,10406,1058,21,1,0,0
1600,1540817683965,27430,-1.011370266e+06,755,2314,3914,5621,54,53,45527,10418,1103,29,0,0,0
1610,1540817728958,27398,-1.010805116e+06,701,2292,3958,5593,59,57,45525,10481,1034,37,0,0,0
1620,1540817775695,27443,-1.010376927e+06,688,2264,3965,5503,63,55,45606,10430,1015,26,0,0,0
1630,1540817820719,27416,-1.011061817e+06,731,2197,4154,5438,53,59,45591,10371,1084,31,0,0,0
1640,1540817867348,27447,-1.010791739e+06,747,2227,4195,5343,45,58,45596,10370,1088,23,0,0,0
1650,1540817912340,27327,-1.011352866e+06,759,2232,4177,5431,51,54,45511,10460,1075,30,1,0,0
1660,1540817959484,27380,-1.010914592e+06,726,2223,4181,5395,56,66,45542,10444,1070,21,0,0,0
1670,1540818004814,27438,-1.011244269e+06,734,2236,4217,5324,57,69,45534,10482,1028,33,0,0,0
1680,1540818052400,27372,-1.010913912e+06,797,2277,4113,5316,45,67,45544,10484,1016,33,0,0,0
1690,1540818098580,27524,-1.010478230e+06,803,2302,4088,5318,39,56,45556,10459,1039,23,0,0,0
1700,1540818147437,27435,-1.010562986e+06,745,2293,4104,5320,46,57,45609,10401,1038,28,1,0,0
1710,1540818193512,27390,-1.011916880e+06,804,2317,4202,5299,49,75,45395,10644,1013,24,1,0,0
1720,1540818241399,27394,-1.011315012e+06,767,2309,4117,5361,53,80,45500,10507,1030,40,0,0,0
1730,1540818286700,27397,-1.010589959e+06,756,2261,4049,5361,44,63,45568,10519,955,35,0,0,0
1740,1540818333512,27461,-1.010958340e+06,774,2295,4148,5335,41,60,45553,10444,1031,49,0,0,0
1750,1540818379365,27412,-1.011620422e+06,833,2264,4152,5395,40,69,45471,10497,1071,38,0,0,0
1760,1540818426589,27366,-1.012022706e+06,802,2225,4101,5556,48,59,45432,10531,1082,32,0,0,0
1770,1540818472404,27259,-1.011726903e+06,697,2289,4108,5576,54,69,45413,10560,1079,25,0,0,0
1780,1540818520872,27333,-1.010936801e+06,740,2277,3992,5521,53,47,45510,10536,999,32,0,0,0
1790,1540818566268,27408,-1.011410442e+06,809,2242,4048,5503,58,62,45480,10510,1050,36,1,0,0
1800,1540818615399,27421,-1.010850900e+06,702,2299,4004,5516,53,60,45561,10443,1028,45,0,0,0
1810,1540818660488,27334,-1.011594743e+06,691,2324,4132,5500,52,64,45462,10497,1088,30,0,0,0
1820,1540818706965,27365,-1.010460710e+06,677,2301,4076,5474,61,65,45536,10455,1059,27,0,0,0
1830,1540818752106,27472,-1.010861737e+06,702,2186,4151,5391,50,73,45618,10397,1030,32,0,0,0
1840,1540818799237,27419,-1.009930168e+06,607,2137,4137,5467,60,64,45659,10393,996,29,0,0,0
1850,1540818844384,27417,-1.009533767e+06,660,2124,4101,5384,55,54,45726,10355,965,31,0,0,0
1860,1540818890868,27428,-1.009010558e+06,701,2106,4028,5380,46,68,45768,10314,970,25,0,0,0
1870,1540818936487,27398,-1.010597851e+06,801,2246,4042,5415,44,51,45547,10500,991,39,0,0,0
1880,1540818984499,27303,-1.011193761e+06,743,2255,4091,5476,58,69,45494,10507,1044,31,1,0,0
1890,1540819030328,27419,-1.011221895e+06,759,2276,4086,5437,66,47,45575,10377,1082,42,1,0,0
1900,1540819079805,27362,-1.011264442e+06,806,2245,4038,5483,57,62,45466,10563,1016,32,0,0,0
1910,1540819125654,27339,-1.011364648e+06,739,2267,4103,5540,53,48,45464,10505,1080,27,1,0,0
1920,1540819173137,27328,-1.012057709e+06,757,2303,4189,5452,51,66,45465,10447,1125,39,1,0,0
1930,1540819219013,27411,-1.011253128e+06,768,2225,4104,5469,64,62,45502,10486,1061,28,0,0,0
1940,1540819266228,27488,-1.011237769e+06,801,2264,4106,5382,67,63,45477,10554,1009,37,0,0,0
1950,1540819312103,27434,-1.011565080e+06,853,2365,4013,5386,52,71,45465,10521,1054,37,0,0,0
1960,1540819359596,27448,-1.010228870e+06,772,2282,3948,5379,60,83,45611,10436,1002,28,0,0,0
1970,1540819405163,27416,-1.011519226e+06,790,2370,4048,5396,55,68,45495,10471,1077,34,0,0,0
1980,1540819452147,27324,-1.011668013e+06,816,2375,3969,5449,63,72,45443,10561,1036,37,0,0,0
1990,1540819497787,27414,-1.011019578e+06,869,2434,3894,5356,58,64,45501,10514,1026,35,1,0,0
2000,1540819546296,27409,-1.010686031e+06,804,2468,3928,5370,55,57,45552,10403,1087,35,0,0,0
2010,1540819591547,27424,-1.010596024e+06,867,2473,3903,5283,56,69,45556,10420,1073,27,1,0,0
2020,1540819638591,27357,-1.012875635e+06,851,2573,4027,5401,66,58,45265,10679,1102,31,0,0,0
2030,1540819683698,27409,-1.011579014e+06,797,2542,3973,5316,50,74,45490,10465,1079,43,0,0,0
2040,1540819730680,27379,-1.009999181e+06,760,2322,3996,5317,48,61,45623,10434,990,30,0,0,0
2050,1540819775924,27427,-1.010979441e+06,800,2339,4089,5321,59,63,45514,10490,1039,33,1,0,0
2060,1540819822812,27366,-1.011154207e+06,715,2322,4106,5435,65,60,45539,10403,1106,28,1,0,0
2070,1540819868819,27406,-1.011009364e+06,740,2410,4079,5311,58,69,45542,10450,1039,45,1,0,0
2080,1540819916805,27363,-1.010918887e+06,785,2430,4007,5353,60,64,45563,10371,1102,40,1,0,0
2090,1540819963091,27424,-1.012261814e+06,792,2506,4078,5382,74,74,45347,10592,1102,34,2,0,0
2100,1540820011248,27336,-1.012473235e+06,738,2470,4121,5455,57,62,45294,10694,1059,29,1,0,0
2110,1540820057080,27382,-1.011158105e+06,714,2412,4027,5443,62,63,45492,10485,1065,34,1,0,0
2120,1540820104185,27435,-1.010584548e+06,789,2353,3883,5447,64,61,45548,10493,1004,32,0,0,0
2130,1540820150129,27437,-1.009690172e+06,747,2356,4001,5238,59,63,45686,10350,1010,30,1,0,0
2140,1540820197851,27450,-1.009950384e+06,728,2326,4000,5255,77,62,45721,10289,1042,25,0,0,0
2150,1540820243484,27460,-1.010209892e+06,665,2391,3978,5331,73,78,45636,10395,1017,29,0,0,0
2160,1540820290942,27457,-1.010968618e+06,665,2328,4084,5395,68,74,45571,10426,1052,28,0,0,0
2170,1540820336483,27446,-1.009615428e+06,677,2275,4024,5339,60,71,45671,10385,1002,19,0,0,0
2180,1540820383592,27467,-1.009899898e+06,695,2321,3977,5400,58,74,45599,10459,991,28,0,0,0
2190,1540820429026,27345,-1.011736618e+06,780,2355,3970,5581,65,50,45405,10586,1043,43,0,0,0
2200,1540820476526,27413,-1.010758651e+06,752,2359,3902,5503,61,65,45503,10528,1024,22,0,0,0
2210,1540820521582,27385,-1.010082139e+06,743,2274,3858,5552,57,56,45612,10432,992,40,1,0,0
2220,1540820568616,27314,-1.011552330e+06,665,2314,4050,5662,48,66,45378,10618,1056,25,0,0,0
