iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
2560,29712,8838,9816,6724,1604,303,61,14,5,0,0,0,0
2570,29709,8875,9794,6681,1615,327,59,14,3,0,0,0,0
2580,29723,8858,9793,6666,1651,298,78,8,1,1,0,0,0
2590,29657,8908,9875,6637,1598,316,70,12,4,0,0,0,0
2600,29667,8896,9885,6593,1646,316,54,16,4,0,0,0,0
2610,29696,8819,9914,6659,1593,308,76,11,1,0,0,0,0
2620,29770,8768,9844,6656,1648,301,77,10,3,0,0,0,0
2630,29688,8916,9785,6659,1631,315,69,11,3,0,0,0,0
2640,29698,8886,9827,6633,1634,311,71,15,2,0,0,0,0
2650,29662,8893,9870,6630,1658,280,68,14,2,0,0,0,0
2660,29713,8836,9852,6671,1610,311,67,10,6,1,0,0,0
2670,29615,8949,9847,6718,1564,298,71,13,1,1,0,0,0
2680,29574,9046,9848,6553,1697,280,68,9,1,1,0,0,0
2690,29667,8962,9806,6551,1695,321,61,13,1,0,0,0,0
2700,29694,8973,9729,6582,1705,303,73,17,1,0,0,0,0
2710,29658,8910,9879,6594,1664,282,73,13,4,0,0,0,0
2720,29636,8946,9909,6515,1691,295,70,13,0,2,0,0,0
2730,29784,8822,9780,6587,1696,323,65,16,3,1,0,0,0
2740,29747,8778,9898,6612,1646,311,69,14,2,0,0,0,0
2750,29655,8975,9718,6740,1603,301,68,15,2,0,0,0,0
2760,29674,8933,9770,6677,1649,283,76,14,1,0,0,0,0
2770,29593,9019,9868,6513,1728,286,54,13,1,2,0,0,0
2780,29652,8893,9833,6731,1600,298,57,11,2,0,0,0,0
2790,29664,8871,9853,6704,1634,268,70,12,1,0,0,0,0
2800,29565,8980,9930,6638,1594,288,69,11,2,0,0,0,0
2810,29648,8978,9737,6698,1647,288,65,15,1,0,0,0,0
2820,29595,9062,9754,6595,1716,282,64,8,1,0,0,0,0
2830,29647,8932,9817,6651,1678,282,56,13,0,1,0,0,0
2840,29743,8771,9888,6637,1658,308,59,11,2,0,0,0,0
2850,29700,8853,9819,6676,1665,298,55,10,1,0,0,0,0
2860,29717,8860,9836,6612,1653,316,67,14,1,1,0,0,0
2870,29715,8885,9776,6659,1648,311,69,11,2,1,0,0,0
2880,29767,8826,9764,6657,1664,318,64,15,1,1,0,0,0
2890,29700,8820,9920,6619,1622,317,67,11,1,0,0,0,0
2900,29610,8959,9878,6618,1642,303,49,14,3,1,0,0,0
2910,29598,8958,9892,6612,1673,277,50,15,1,1,0,0,0
2920,29656,8956,9820,6596,1652,312,71,13,1,0,0,0,0
2930,29644,8964,9802,6621,1679,289,64,12,1,1,0,0,0
2940,29733,8871,9793,6589,1698,312,66,15,0,0,0,0,0
2950,29724,8870,9770,6661,1668,306,65,12,1,0,0,0,0
2960,29729,8814,9899,6571,1666,313,72,13,0,0,0,0,0
2970,29741,8860,9728,6730,1616,322,64,15,1,0,0,0,0
2980,29780,8807,9816,6563,1713,311,69,16,2,0,0,0,0
2990,29746,8846,9826,6576,1673,320,75,12,2,1,0,0,0
3000,29623,8993,9879,6492,1689,329,56,15,1,0,0,0,0
3010,29715,8942,9743,6554,1721,324,64,13,1,0,0,0,0
3020,29753,8892,9714,6624,1698,302,78,14,1,1,0,0,0
3030,29690,8907,9825,6611,1649,309,62,19,4,1,0,0,0
3040,29742,8869,9699,6709,1696,291,58,9,3,1,0,0,0
3050,29741,8840,9769,6662,1698,294,62,9,2,0,0,0,0
3060,29697,8869,9824,6634,1693,293,51,13,3,0,0,0,0
3070,29773,8804,9857,6506,1734,328,64,8,2,1,0,0,0
3080,29665,8904,9893,6546,1693,297,65,11,2,1,0,0,0
3090,29767,8853,9757,6592,1707,322,60,16,3,0,0,0,0
3100,29730,8896,9749,6611,1714,283,82,10,1,1,0,0,0
3110,29702,8935,9718,6645,1711,287,65,10,4,0,0,0,0
3120,29754,8827,9784,6672,1634,327,61,15,3,0,0,0,0
3130,29716,8921,9749,6584,1724,301,71,9,2,0,0,0,0
3140,29737,8931,9711,6594,1683,332,74,14,1,0,0,0,0
3150,29711,8901,9740,6656,1714,271,73,9,2,0,0,0,0
3160,29641,8918,9870,6626,1666,275,66,14,1,0,0,0,0
3170,29755,8834,9765,6671,1666,303,66,12,4,1,0,0,0
3180,29716,8927,9757,6591,1667,337,66,14,2,0,0,0,0
3190,29761,8812,9823,6604,1678,314,73,9,3,0,0,0,0
3200,29753,8841,9733,6707,1663,296,73,9,2,0,0,0,0
3210,29673,8932,9814,6606,1659,312,67,11,3,0,0,0,0
3220,29668,8895,9865,6605,1675,294,59,15,1,0,0,0,0
3230,29749,8776,9884,6636,1638,310,67,15,2,0,0,0,0
3240,29635,8953,9847,6631,1629,289,77,14,2,0,0,0,0
3250,29623,9003,9808,6631,1599,327,69,16,1,0,0,0,0
3260,29600,8975,9865,6644,1610,309,65,7,2,0,0,0,0
3270,29585,9005,9872,6606,1618,322,58,8,3,0,0,0,0
3280,29673,8919,9824,6633,1623,327,64,12,2,0,0,0,0
3290,29594,9002,9898,6533,1672,301,56,17,4,0,0,0,0
3300,29612,8978,9885,6546,1691,286,60,15,4,0,0,0,0
3310,29787,8804,9796,6583,1711,309,71,13,1,2,0,0,0
3320,29728,8902,9763,6609,1668,319,67,15,6,0,0,0,0
3330,29742,8793,9821,6692,1661,300,56,11,0,1,0,0,0
3340,29786,8795,9745,6695,1667,316,54,17,2,0,0,0,0
3350,29821,8785,9662,6753,1667,310,65,11,3,0,0,0,0
3360,29644,9013,9698,6717,1614,309,60,21,0,1,0,0,0
3370,29660,8911,9895,6579,1630,320,60,17,5,0,0,0,0
3380,29585,9020,9823,6633,1653,295,53,13,2,0,0,0,0
3390,29659,8942,9842,6578,1678,284,78,11,5,0,0,0,0
3400,29709,8885,9741,6702,1701,254,69,13,2,1,0,0,0
3410,29579,9068,9769,6664,1613,298,69,14,2,1,0,0,0
3420,29538,9107,9816,6591,1647,303,64,10,1,0,0,0,0
3430,29667,8954,9821,6564,1680,296,80,11,4,0,0,0,0
3440,29656,8953,9805,6623,1664,291,67,13,4,1,0,0,0
3450,29712,8838,9905,6555,1677,305,70,10,4,1,0,0,0
3460,29721,8915,9774,6575,1676,332,66,15,3,0,0,0,0
3470,29727,8857,9794,6658,1666,280,75,16,4,0,0,0,0
