iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
1100,1540821783914,27285,-1.011168121e+06,738,2220,4173,5507,49,56,45474,10499,1068,36,0,0,0
1110,1540822087444,27329,-1.012130127e+06,719,2408,4052,5560,57,76,45349,10620,1072,36,0,0,0
1120,1540822387432,27297,-1.011625453e+06,731,2273,4154,5500,57,56,45430,10561,1050,34,2,0,0
1130,1540822661803,27384,-1.011426797e+06,644,2242,4126,5540,50,60,45463,10593,994,27,0,0,0
1140,1540822939442,27300,-1.011807660e+06,724,2135,4154,5620,52,74,45416,10586,1053,21,1,0,0
1150,1540823254098,27362,-1.011341261e+06,744,2255,4121,5464,59,59,45493,10507,1036,41,0,0,0
1160,1540823568367,27354,-1.011544382e+06,745,2371,3984,5528,52,47,45523,10424,1087,43,0,0,0
1170,1540823878447,27336,-1.011320282e+06,825,2363,3994,5474,41,55,45420,10593,1033,31,0,0,0
1180,1540824186764,27359,-1.011101246e+06,810,2315,4132,5321,48,62,45461,10575,1010,31,0,0,0
1190,1540824495832,27314,-1.011494348e+06,726,2355,4088,5416,59,65,45504,10481,1049,42,1,0,0
1200,1540824804629,27255,-1.013121493e+06,835,2406,4213,5438,62,43,45268,10657,1116,36,0,0,0
1210,1540825094854,27314,-1.011817017e+06,841,2312,4112,5383,63,57,45414,10596,1029,38,0,0,0
1220,1540825387786,27428,-1.010655363e+06,724,2231,4169,5338,57,61,45614,10379,1051,33,0,0,0
1230,1540825692720,27392,-1.010802559e+06,756,2284,4092,5403,63,44,45526,10491,1029,31,0,0,0
1240,1540825993010,27354,-1.012280778e+06,757,2287,3975,5630,75,82,45430,10528,1079,40,0,0,0
1250,1540826249111,27222,-1.012210662e+06,751,2302,4127,5602,57,47,45325,10656,1058,38,0,0,0
1260,1540826505919,27273,-1.012247066e+06,737,2348,4121,5532,64,63,45387,10569,1069,50,2,0,0
1270,1540826754935,27293,-1.012366566e+06,730,2270,4255,5496,73,58,45412,10492,1129,44,0,0,0
1280,1540827004248,27255,-1.011190316e+06,746,2201,4101,5591,47,50,45437,10571,1042,27,0,0,0
1290,1540827251427,27323,-1.012164485e+06,734,2129,4169,5621,68,53,45426,10571,1037,43,0,0,0
1300,1540827506640,27310,-1.011399882e+06,673,2199,4219,5535,61,50,45418,10615,1010,34,0,0,0
1310,1540827790756,27344,-1.012240696e+06,788,2151,4259,5473,88,57,45396,10590,1047,44,0,0,0
1320,1540828079858,27297,-1.012215211e+06,777,2081,4151,5709,74,55,45368,10609,1062,38,0,0,0
1330,1540828389907,27379,-1.011414206e+06,729,2151,4111,5610,72,69,45404,10632,1013,28,0,0,0
1340,1540828698478,27281,-1.011589713e+06,779,2206,4282,5428,66,52,45428,10508,1118,23,0,0,0
1350,1540829006908,27289,-1.012053910e+06,749,2267,4345,5355,69,64,45335,10664,1049,29,0,0,0
1360,1540829317598,27260,-1.011043963e+06,747,2237,4176,5348,61,79,45534,10468,1045,30,0,0,0
1370,1540829627397,27353,-1.011260191e+06,646,2272,4297,5317,61,55,45484,10555,1021,17,0,0,0
