iteration,0,1,2,3,4,5,6,7,8,9,10
2340,29736,8839,9768,6714,1634,307,65,13,1,0,0
2350,29701,8859,9858,6615,1654,319,54,14,3,0,0
2360,29742,8802,9858,6665,1589,330,79,12,0,0,0
2370,29654,8940,9803,6651,1661,290,63,14,1,0,0
2380,29791,8781,9797,6635,1692,276,87,17,1,0,0
2390,29779,8844,9709,6678,1667,307,76,14,3,0,0
2400,29791,8822,9725,6654,1699,287,84,12,3,0,0
2410,29823,8810,9723,6572,1741,321,75,10,2,0,0
2420,29756,8870,9741,6617,1704,298,72,17,1,1,0
2430,29634,9006,9819,6542,1679,310,70,15,2,0,0
2440,29693,8911,9856,6513,1724,287,70,20,3,0,0
2450,29668,8990,9684,6712,1631,313,61,16,2,0,0
2460,29744,8884,9801,6502,1747,315,68,14,2,0,0
2470,29632,9027,9772,6593,1647,315,73,18,0,0,0
2480,29650,8985,9828,6524,1686,320,70,12,2,0,0
2490,29708,8883,9810,6618,1672,303,66,15,2,0,0
2500,29719,8854,9823,6620,1674,315,60,10,2,0,0
2510,29765,8832,9745,6683,1665,304,62,14,7,0,0
2520,29619,9040,9781,6587,1632,340,64,10,4,0,0
2530,29645,8968,9820,6602,1653,312,55,17,3,2,0
2540,29682,8943,9785,6610,1661,311,64,18,2,1,0
2550,29810,8775,9767,6631,1712,286,79,13,4,0,0
2560,29725,8892,9758,6609,1714,305,58,15,1,0,0
2570,29754,8878,9725,6613,1711,323,61,11,1,0,0
2580,29788,8781,9804,6617,1694,309,73,10,1,0,0
2590,29681,8909,9839,6594,1654,324,63,10,3,0,0
2600,29815,8780,9775,6587,1714,325,65,14,1,1,0
2610,29705,8907,9773,6617,1688,315,61,8,3,0,0
2620,29712,8898,9774,6635,1672,295,77,11,3,0,0
2630,29746,8872,9777,6579,1703,323,55,20,1,1,0
2640,29809,8825,9674,6671,1695,327,60,13,2,1,0
2650,29851,8796,9680,6580,1782,294,77,15,2,0,0
2660,29798,8792,9795,6561,1739,311,73,3,4,0,1
2670,29812,8756,9794,6602,1730,308,61,11,3,0,0
2680,29699,8926,9779,6572,1724,305,53,16,1,2,0
2690,29628,9037,9780,6538,1700,310,74,8,2,0,0
2700,29666,8883,9935,6559,1628,325,62,14,5,0,0
2710,29764,8845,9739,6644,1709,289,72,11,4,0,0
2720,29752,8861,9775,6604,1674,324,73,12,2,0,0
2730,29803,8767,9849,6535,1718,312,80,10,2,1,0
2740,29760,8874,9746,6582,1707,325,71,11,0,1,0
2750,29866,8779,9654,6639,1732,318,72,14,2,1,0
2760,29803,8827,9742,6570,1730,315,74,11,5,0,0
2770,29796,8795,9780,6633,1662,307,90,12,2,0,0
2780,29656,8999,9727,6641,1663,316,60,11,4,0,0
2790,29777,8838,9750,6609,1705,316,65,14,3,0,0
2800,29735,8868,9786,6607,1696,297,72,13,3,0,0
2810,29862,8709,9774,6629,1692,326,64,17,4,0,0
2820,29806,8781,9773,6600,1736,304,61,11,3,1,1
2830,29708,8916,9794,6537,1736,316,57,8,5,0,0
2840,29704,8949,9700,6665,1657,320,72,7,3,0,0
2850,29886,8717,9688,6618,1799,295,61,11,2,0,0
2860,29846,8741,9752,6632,1697,324,69,14,2,0,0
2870,29866,8710,9716,6722,1653,326,65,15,4,0,0
2880,29825,8778,9686,6751,1613,342,64,16,2,0,0
2890,29827,8659,9880,6659,1683,286,65,15,3,0,0
2900,29715,8860,9856,6589,1653,319,68,14,2,1,0
2910,29704,8834,9917,6553,1699,288,63,16,3,0,0
2920,29715,8879,9834,6566,1680,325,60,17,1,0,0
2930,29782,8762,9800,6703,1652,283,84,9,2,0,0
2940,29768,8851,9727,6665,1674,293,80,16,3,0,0
2950,29857,8740,9729,6640,1717,299,74,17,3,1,0
2960,29866,8761,9676,6611,1792,285,66,18,2,0,0
2970,29929,8642,9714,6667,1720,326,63,11,4,1,0
2980,29795,8806,9790,6576,1700,318,76,12,3,1,0
2990,29764,8903,9662,6610,1768,288,68,13,0,1,0
3000,29795,8808,9766,6602,1708,311,68,16,3,0,0
