iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-IREG,aggDist-SESSO,aggDist-ANASCI,aggDist-STUDIO,aggDist-PAR,aggDist-STACIV,aggDist-PERC,aggDist-CFDIC,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6,recDistortion-7,recDistortion-8
1830,1545870367214,17788,-5.765611091e+05,7773,620,141,237,56,123,307,72,30699,8766,271,7,0,0,0,0,0
1840,1545870369525,17794,-5.763776252e+05,7682,615,140,294,56,112,276,82,30743,8749,245,6,0,0,0,0,0
1850,1545870371983,17788,-5.767658504e+05,7627,664,150,327,63,111,235,104,30761,8688,289,5,0,0,0,0,0
1860,1545870374334,17827,-5.763022866e+05,7601,648,134,335,51,119,324,74,30791,8623,324,5,0,0,0,0,0
1870,1545870376778,17908,-5.763833124e+05,7554,572,150,341,56,134,362,58,30803,8658,277,5,0,0,0,0,0
1880,1545870379018,17799,-5.761132566e+05,7620,566,147,276,59,146,320,73,30849,8584,307,3,0,0,0,0,0
1890,1545870381327,17815,-5.761791655e+05,7660,556,142,304,63,114,326,86,30758,8721,262,2,0,0,0,0,0
1900,1545870383802,17820,-5.750984674e+05,7556,566,129,253,66,127,271,91,30950,8531,258,4,0,0,0,0,0
1910,1545870386098,17799,-5.755204642e+05,7505,602,157,292,53,111,260,77,30980,8470,292,1,0,0,0,0,0
1920,1545870388454,17802,-5.764911061e+05,7603,541,187,275,63,147,284,104,30822,8641,277,3,0,0,0,0,0
1930,1545870390885,17794,-5.761592574e+05,7722,547,158,274,62,128,329,76,30752,8687,303,1,0,0,0,0,0
1940,1545870393271,17677,-5.765034746e+05,7588,534,156,305,46,156,344,76,30852,8579,310,2,0,0,0,0,0
1950,1545870395527,17723,-5.756706748e+05,7602,570,151,245,60,122,339,85,30853,8608,280,2,0,0,0,0,0
1960,1545870397810,17819,-5.757003812e+05,7583,541,166,247,50,133,316,66,30930,8530,277,6,0,0,0,0,0
1970,1545870400135,17818,-5.755030157e+05,7613,480,171,199,73,104,323,88,30946,8545,250,2,0,0,0,0,0
1980,1545870402481,17781,-5.754986259e+05,7706,519,135,277,41,121,248,70,30885,8599,259,0,0,0,0,0,0
1990,1545870404685,17824,-5.758356306e+05,7573,527,177,248,60,133,333,61,30906,8565,269,3,0,0,0,0,0
2000,1545870407229,17902,-5.757066965e+05,7475,536,160,273,63,138,339,77,30958,8515,264,6,0,0,0,0,0
2010,1545870409481,17856,-5.753160605e+05,7401,504,155,292,51,154,340,94,31032,8435,272,4,0,0,0,0,0
2020,1545870411836,17889,-5.742226902e+05,7378,503,124,311,61,88,281,71,31156,8359,226,2,0,0,0,0,0
2030,1545870414303,17916,-5.754161049e+05,7476,533,123,332,66,117,285,73,31012,8464,260,7,0,0,0,0,0
2040,1545870416666,17794,-5.756081125e+05,7652,552,130,340,48,87,246,84,30872,8608,258,5,0,0,0,0,0
2050,1545870418867,17816,-5.756269742e+05,7642,523,146,354,63,108,226,72,30882,8593,263,5,0,0,0,0,0
2060,1545870421198,17782,-5.763816675e+05,7511,562,171,353,66,111,296,74,30900,8547,291,5,0,0,0,0,0
2070,1545870423543,17732,-5.767127754e+05,7801,530,126,352,58,128,280,85,30690,8753,293,7,0,0,0,0,0
2080,1545870425874,17812,-5.757528193e+05,7646,512,118,321,57,113,255,92,30922,8530,289,2,0,0,0,0,0
2090,1545870428338,17943,-5.749947428e+05,7460,548,115,319,71,151,282,89,31014,8426,300,3,0,0,0,0,0
2100,1545870431076,17845,-5.755771076e+05,7539,565,137,308,58,141,272,65,30968,8469,302,4,0,0,0,0,0
2110,1545870433546,17794,-5.758306284e+05,7599,542,127,305,46,139,303,84,30891,8565,281,6,0,0,0,0,0
2120,1545870436069,17758,-5.758886548e+05,7505,541,130,332,60,130,291,107,30949,8498,290,6,0,0,0,0,0
2130,1545870438291,17812,-5.748287592e+05,7473,547,102,299,40,139,308,86,31013,8470,256,4,0,0,0,0,0
2140,1545870440641,17852,-5.758528199e+05,7537,542,131,292,51,140,311,83,30954,8494,292,3,0,0,0,0,0
2150,1545870442981,17803,-5.753728152e+05,7551,577,133,268,63,93,338,71,30926,8542,273,2,0,0,0,0,0
2160,1545870445318,17822,-5.757399761e+05,7541,624,120,275,52,132,332,81,30882,8568,290,3,0,0,0,0,0
2170,1545870447570,17766,-5.754615519e+05,7579,586,130,285,53,115,269,60,30963,8488,287,5,0,0,0,0,0
2180,1545870449864,17893,-5.747773734e+05,7513,544,105,315,35,108,305,73,31037,8419,282,5,0,0,0,0,0
2190,1545870452064,17772,-5.755418493e+05,7626,596,117,285,46,122,237,73,30928,8531,281,3,0,0,0,0,0
2200,1545870454556,17783,-5.767948939e+05,7683,602,140,329,56,155,298,83,30713,8716,312,2,0,0,0,0,0
2210,1545870456806,17768,-5.762763012e+05,7613,567,156,333,58,121,287,87,30820,8629,289,5,0,0,0,0,0
2220,1545870459124,17824,-5.755132096e+05,7605,570,154,268,63,112,281,62,30930,8518,288,7,0,0,0,0,0
2230,1545870461463,17828,-5.763926330e+05,7728,570,141,302,59,120,317,83,30720,8734,281,8,0,0,0,0,0
2240,1545870463844,17734,-5.766553243e+05,7707,602,151,316,46,96,336,81,30703,8748,289,3,0,0,0,0,0
2250,1545870466097,17747,-5.765057153e+05,7793,541,138,300,53,117,327,83,30678,8780,283,2,0,0,0,0,0
2260,1545870468388,17803,-5.760353197e+05,7505,580,158,295,71,138,301,64,30899,8581,258,5,0,0,0,0,0
2270,1545870470608,17807,-5.755217109e+05,7490,520,148,309,47,117,309,85,30996,8474,268,5,0,0,0,0,0
2280,1545870472914,17753,-5.756486060e+05,7561,557,139,301,50,124,341,80,30871,8592,279,1,0,0,0,0,0
