iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
940,21906,6760,5331,2920,1525,747,320,130,64,23,12,3,2,0,0,0,0,0,0,0
950,21908,6713,5352,2989,1532,680,318,150,59,29,6,6,0,0,1,0,0,0,0,0
960,21936,6667,5467,2891,1492,689,321,165,73,32,7,3,0,0,0,0,0,0,0,0
970,21911,6727,5361,2942,1522,690,349,151,53,23,8,5,0,1,0,0,0,0,0,0
980,21865,6771,5443,2910,1438,717,339,154,68,24,9,3,2,0,0,0,0,0,0,0
990,21923,6709,5428,2900,1487,683,342,165,67,22,13,4,0,0,0,0,0,0,0,0
1000,21958,6670,5375,2941,1502,722,323,145,61,30,10,4,0,1,1,0,0,0,0,0
1010,21861,6721,5464,2926,1479,733,336,121,61,28,11,2,0,0,0,0,0,0,0,0
1020,21875,6701,5507,2909,1443,732,339,133,60,28,7,6,3,0,0,0,0,0,0,0
1030,21909,6683,5405,2940,1518,735,327,141,47,29,4,3,2,0,0,0,0,0,0,0
1040,21874,6759,5380,2978,1490,681,330,135,66,32,16,1,0,1,0,0,0,0,0,0
1050,21950,6610,5516,2886,1453,755,311,161,65,22,10,3,1,0,0,0,0,0,0,0
1060,21832,6875,5387,2855,1501,685,333,166,65,28,11,2,3,0,0,0,0,0,0,0
1070,21862,6772,5410,2912,1512,705,323,136,70,27,6,7,1,0,0,0,0,0,0,0
1080,21930,6694,5459,2843,1515,723,311,154,67,32,9,5,0,0,1,0,0,0,0,0
1090,21914,6749,5448,2776,1504,773,327,150,68,19,6,6,3,0,0,0,0,0,0,0
1100,21856,6818,5341,2978,1442,731,328,140,68,25,10,5,0,0,1,0,0,0,0,0
1110,21917,6722,5367,2908,1549,733,305,134,62,34,5,4,1,2,0,0,0,0,0,0
1120,21884,6779,5406,2927,1435,703,329,158,79,32,7,2,2,0,0,0,0,0,0,0
1130,21872,6821,5351,2875,1502,769,300,144,69,22,15,2,1,0,0,0,0,0,0,0
1140,21905,6802,5306,2974,1411,746,326,163,77,19,8,5,0,0,1,0,0,0,0,0
1150,21945,6673,5466,2844,1480,759,319,148,65,30,8,3,2,0,1,0,0,0,0,0
1160,21993,6624,5354,2989,1489,714,322,143,70,30,10,5,0,0,0,0,0,0,0,0
1170,21913,6752,5398,2884,1440,774,334,152,49,27,12,7,0,1,0,0,0,0,0,0
1180,21908,6690,5452,2900,1498,713,338,152,50,26,12,3,0,1,0,0,0,0,0,0
1190,21964,6691,5340,2949,1493,701,350,152,64,25,9,3,2,0,0,0,0,0,0,0
1200,21903,6700,5405,3007,1469,670,320,158,66,27,11,6,0,1,0,0,0,0,0,0
1210,21849,6760,5447,2934,1475,704,335,121,80,17,17,2,1,1,0,0,0,0,0,0
1220,21981,6648,5393,2930,1459,742,338,134,72,32,12,1,1,0,0,0,0,0,0,0
1230,21870,6875,5283,2929,1488,689,332,161,73,24,13,3,3,0,0,0,0,0,0,0
1240,21941,6690,5452,2872,1474,698,351,151,71,23,13,6,0,1,0,0,0,0,0,0
1250,21870,6775,5373,2976,1459,709,332,142,60,31,9,6,1,0,0,0,0,0,0,0
1260,21792,6836,5440,2908,1515,679,331,139,61,25,14,0,3,0,0,0,0,0,0,0
1270,21872,6743,5402,3024,1419,679,348,158,54,27,7,6,4,0,0,0,0,0,0,0
1280,21999,6611,5351,3031,1441,731,324,140,67,33,8,4,2,1,0,0,0,0,0,0
1290,21950,6700,5360,2947,1476,722,314,166,72,22,11,1,0,1,1,0,0,0,0,0
1300,21969,6685,5395,2891,1490,709,330,161,67,26,11,6,2,1,0,0,0,0,0,0
1310,21837,6849,5339,2947,1454,720,370,144,44,22,10,3,4,0,0,0,0,0,0,0
1320,21804,6830,5467,2891,1452,717,321,163,58,25,9,5,1,0,0,0,0,0,0,0
1330,21877,6790,5410,2869,1467,735,343,146,67,27,8,4,0,0,0,0,0,0,0,0
1340,21991,6622,5376,2967,1495,708,316,151,77,29,7,0,4,0,0,0,0,0,0,0
1350,22066,6597,5293,2943,1527,728,336,139,64,28,14,6,2,0,0,0,0,0,0,0
1360,21951,6735,5390,2882,1449,697,354,176,62,30,11,3,3,0,0,0,0,0,0,0
1370,22019,6630,5374,2875,1507,751,341,143,48,32,16,6,1,0,0,0,0,0,0,0
1380,21921,6735,5327,3003,1466,705,315,166,70,16,13,2,4,0,0,0,0,0,0,0
1390,21924,6655,5443,2951,1499,694,323,150,61,30,9,2,1,1,0,0,0,0,0,0
1400,21929,6665,5450,2894,1506,723,349,122,61,26,13,3,2,0,0,0,0,0,0,0
1410,21987,6634,5365,2915,1524,759,329,134,57,25,7,5,1,1,0,0,0,0,0,0
1420,21985,6669,5364,2881,1503,750,354,136,64,25,8,1,2,1,0,0,0,0,0,0
1430,21918,6639,5487,2965,1427,719,331,157,68,23,5,2,2,0,0,0,0,0,0,0
1440,21916,6711,5370,2918,1592,679,294,145,85,19,10,3,1,0,0,0,0,0,0,0
1450,21924,6651,5457,2938,1510,683,335,129,74,26,8,6,2,0,0,0,0,0,0,0
1460,21931,6713,5376,2929,1499,695,349,146,63,25,12,5,0,0,0,0,0,0,0,0
1470,21975,6691,5369,2872,1519,720,332,162,56,33,7,4,2,1,0,0,0,0,0,0
1480,21953,6678,5460,2828,1499,714,359,142,67,27,11,3,1,1,0,0,0,0,0,0
1490,22004,6692,5369,2838,1470,753,360,135,72,33,12,4,1,0,0,0,0,0,0,0
1500,21892,6778,5424,2823,1506,724,342,152,57,27,13,2,2,1,0,0,0,0,0,0
1510,22032,6660,5285,2934,1486,734,354,156,59,30,8,3,1,0,1,0,0,0,0,0
1520,22028,6606,5332,2966,1500,705,340,165,64,30,5,1,1,0,0,0,0,0,0,0
1530,21909,6711,5468,2907,1437,718,319,156,65,34,7,10,1,1,0,0,0,0,0,0
1540,21943,6613,5529,2867,1509,703,308,157,73,25,12,4,0,0,0,0,0,0,0,0
1550,21935,6661,5395,2969,1496,732,322,119,74,22,14,3,0,1,0,0,0,0,0,0
1560,21980,6684,5318,2947,1501,711,338,167,60,27,7,3,0,0,0,0,0,0,0,0
1570,21911,6796,5300,2909,1510,760,295,154,59,35,10,3,1,0,0,0,0,0,0,0
1580,21910,6790,5363,2845,1521,729,318,151,71,28,10,6,1,0,0,0,0,0,0,0
1590,21906,6672,5453,2924,1519,691,328,161,61,13,8,4,1,2,0,0,0,0,0,0
1600,21881,6758,5459,2844,1488,716,344,151,60,24,13,4,1,0,0,0,0,0,0,0
1610,21932,6739,5342,2920,1494,717,341,164,59,25,4,4,2,0,0,0,0,0,0,0
1620,21972,6723,5338,2873,1534,674,355,178,52,24,12,6,1,1,0,0,0,0,0,0
1630,21844,6829,5387,2902,1482,714,326,158,61,24,8,6,2,0,0,0,0,0,0,0
1640,21918,6717,5396,2915,1503,723,313,143,77,20,12,5,1,0,0,0,0,0,0,0
1650,21912,6683,5487,2894,1458,715,326,158,70,28,10,1,1,0,0,0,0,0,0,0
1660,21952,6668,5365,2960,1515,696,347,136,60,33,8,2,1,0,0,0,0,0,0,0
1670,21840,6889,5346,2819,1551,700,346,149,61,27,14,1,0,0,0,0,0,0,0,0
1680,21909,6692,5425,2927,1512,674,360,151,65,17,10,0,1,0,0,0,0,0,0,0
1690,21902,6706,5456,2916,1454,709,356,137,65,27,10,3,1,1,0,0,0,0,0,0
1700,21998,6669,5315,2931,1516,718,340,149,63,34,7,2,1,0,0,0,0,0,0,0
1710,21923,6744,5376,2865,1529,707,345,158,64,19,5,5,2,1,0,0,0,0,0,0
1720,21865,6755,5509,2895,1395,701,336,180,64,27,11,3,1,0,1,0,0,0,0,0
1730,21927,6688,5408,2913,1508,727,325,153,54,27,8,3,2,0,0,0,0,0,0,0
1740,21923,6729,5379,2912,1496,723,320,156,59,28,13,5,0,0,0,0,0,0,0,0
1750,21941,6706,5457,2841,1451,744,342,151,62,23,14,8,3,0,0,0,0,0,0,0
1760,21964,6697,5328,3016,1469,660,325,155,73,28,17,8,2,1,0,0,0,0,0,0
1770,21833,6803,5398,2976,1461,696,315,141,81,28,9,1,0,0,1,0,0,0,0,0
1780,21869,6774,5405,2915,1448,757,344,130,67,21,9,3,0,0,0,1,0,0,0,0
1790,21864,6810,5374,2927,1458,728,320,155,66,25,7,5,3,1,0,0,0,0,0,0
1800,21959,6666,5363,2945,1532,721,293,148,71,33,9,2,1,0,0,0,0,0,0,0
1810,21962,6700,5323,2951,1521,682,347,154,70,15,10,3,3,2,0,0,0,0,0,0
1820,21978,6680,5389,2841,1555,706,326,154,72,28,8,4,1,0,1,0,0,0,0,0
1830,21955,6662,5434,2870,1514,719,332,147,68,36,5,0,0,1,0,0,0,0,0,0
1840,21949,6695,5376,2916,1513,709,319,152,73,27,9,4,1,0,0,0,0,0,0,0
1850,21955,6699,5289,3029,1490,679,342,160,64,26,8,0,1,0,1,0,0,0,0,0
1860,21916,6699,5411,2920,1514,681,363,152,45,26,11,5,0,0,0,0,0,0,0,0
1870,21835,6755,5395,3037,1464,711,317,132,56,24,7,5,4,1,0,0,0,0,0,0
1880,21944,6683,5407,2918,1459,744,339,145,68,22,10,3,1,0,0,0,0,0,0,0
1890,21928,6740,5368,2934,1438,734,338,147,73,35,4,2,1,1,0,0,0,0,0,0
1900,21923,6721,5372,2939,1508,699,328,141,65,31,7,4,1,3,0,1,0,0,0,0
1910,21944,6716,5340,2961,1491,702,336,136,64,32,14,4,1,2,0,0,0,0,0,0
1920,21941,6690,5396,2900,1510,723,334,154,54,27,8,4,1,1,0,0,0,0,0,0
1930,21949,6684,5413,2943,1461,651,361,178,59,28,8,7,1,0,0,0,0,0,0,0
1940,22066,6579,5301,2982,1487,746,314,157,70,24,11,4,1,1,0,0,0,0,0,0
1950,22020,6637,5300,2966,1514,706,344,155,59,27,9,5,0,1,0,0,0,0,0,0
1960,21924,6680,5406,2963,1485,703,335,146,58,24,15,3,1,0,0,0,0,0,0,0
1970,21925,6740,5330,2996,1427,737,344,133,61,27,19,2,2,0,0,0,0,0,0,0
1980,21962,6701,5391,2854,1496,743,336,155,62,32,7,4,0,0,0,0,0,0,0,0
1990,21919,6735,5360,2937,1468,762,329,126,59,27,10,9,1,1,0,0,0,0,0,0
2000,21841,6790,5396,2986,1463,697,298,153,82,20,16,1,0,0,0,0,0,0,0,0
2010,21887,6774,5369,2948,1503,658,329,163,66,27,13,4,1,1,0,0,0,0,0,0
2020,21854,6799,5396,2885,1530,704,331,139,67,23,11,3,1,0,0,0,0,0,0,0
2030,21827,6770,5477,2962,1417,701,324,162,63,28,8,2,2,0,0,0,0,0,0,0
2040,21949,6667,5373,2928,1525,748,317,143,57,21,10,3,1,1,0,0,0,0,0,0
2050,21927,6663,5464,2929,1464,715,308,156,74,30,11,2,0,0,0,0,0,0,0,0
2060,21961,6695,5392,2866,1530,693,340,155,63,33,11,3,1,0,0,0,0,0,0,0
2070,22011,6600,5377,2938,1490,740,338,151,65,24,5,4,0,0,0,0,0,0,0,0
2080,21931,6646,5412,3017,1452,714,318,149,62,28,10,3,1,0,0,0,0,0,0,0
2090,21800,6804,5511,2874,1443,732,339,144,63,17,13,2,1,0,0,0,0,0,0,0
2100,21898,6719,5411,2966,1488,670,314,172,65,21,9,6,3,1,0,0,0,0,0,0
2110,21949,6683,5357,2946,1506,728,341,136,63,14,12,2,4,2,0,0,0,0,0,0
2120,21985,6660,5359,2939,1502,692,346,153,61,29,10,3,2,1,1,0,0,0,0,0
2130,21931,6639,5482,2961,1423,712,334,150,65,34,8,3,1,0,0,0,0,0,0,0
2140,21891,6758,5367,2964,1503,655,354,140,61,29,16,2,2,1,0,0,0,0,0,0
2150,21940,6686,5414,2882,1529,710,331,144,62,29,11,4,1,0,0,0,0,0,0,0
2160,21921,6780,5283,2959,1498,705,330,170,57,29,8,1,1,1,0,0,0,0,0,0
2170,21977,6647,5440,2864,1491,726,336,151,66,30,9,4,1,1,0,0,0,0,0,0
2180,21850,6795,5387,2998,1432,689,330,147,69,28,9,6,2,0,1,0,0,0,0,0
2190,21971,6746,5291,2911,1495,737,334,140,67,30,12,3,4,2,0,0,0,0,0,0
2200,21960,6740,5310,2916,1482,739,339,141,72,30,10,3,1,0,0,0,0,0,0,0
2210,21975,6767,5297,2863,1516,688,362,163,58,38,10,2,4,0,0,0,0,0,0,0
2220,21919,6773,5355,2909,1464,716,346,153,58,33,8,4,3,0,1,1,0,0,0,0
2230,21915,6753,5376,2879,1511,722,344,143,52,26,13,7,1,1,0,0,0,0,0,0
2240,22009,6642,5292,2993,1498,725,326,156,61,31,7,1,1,1,0,0,0,0,0,0
2250,21996,6639,5343,2969,1471,747,327,138,73,24,12,4,0,0,0,0,0,0,0,0
