iteration,0,1,2,3
5750,15155,13185,13274,15463
5760,15042,13269,13313,15453
5770,15284,13237,13191,15365
5780,15186,13173,13223,15495
5790,15182,13143,13273,15479
5800,15123,13310,13228,15416
5810,15239,13165,13122,15551
5820,15322,13188,13182,15385
5830,15120,13243,13182,15532
5840,15214,13084,13185,15594
5850,15320,13203,13141,15413
5860,15290,13168,13354,15265
5870,15152,13192,13251,15482
5880,15194,13169,13348,15366
5890,15369,13246,13126,15336
5900,15178,13141,13184,15574
5910,15283,13143,13195,15456
5920,15319,13182,13142,15434
5930,15162,13341,13162,15412
5940,15113,13374,13269,15321
5950,15070,13265,13281,15461
5960,15216,13103,13144,15614
5970,15024,13379,13093,15581
5980,15028,13374,13278,15397
5990,15287,13138,13292,15360
6000,15192,13278,13277,15330
6010,15325,13203,13275,15274
6020,15119,13271,13286,15401
6030,15161,13236,13260,15420
6040,15078,13241,13284,15474
6050,15038,13357,13282,15400
6060,15180,13109,13222,15566
6070,15103,13382,13105,15487
6080,15194,13100,13369,15414
6090,15127,13279,13289,15382
6100,15156,13221,13319,15381
6110,15132,13166,13269,15510
6120,15160,13219,13185,15513
6130,15192,13227,13204,15454
6140,15232,13188,13318,15339
6150,15012,13269,13460,15336
6160,15116,13212,13259,15490
6170,15190,13264,13182,15441
6180,15139,13272,13253,15413
6190,15208,13116,13360,15393
6200,15190,13186,13226,15475
6210,15221,13329,13252,15275
6220,15158,13161,13269,15489
6230,15121,13331,13304,15321
6240,15266,13225,13174,15412
6250,15249,13224,13198,15406
6260,15062,13259,13287,15469
6270,15105,13215,13171,15586
6280,15196,13320,13161,15400
6290,15117,13128,13282,15550
6300,15151,13281,13165,15480
6310,15374,13149,13206,15348
6320,15202,13227,13272,15376
6330,15190,13311,13181,15395
6340,15166,13388,13180,15343
6350,15167,13257,13364,15289
6360,15142,13202,13164,15569
6370,15109,13270,13246,15452
6380,15154,13233,13287,15403
6390,15171,13193,13222,15491
6400,15039,13230,13354,15454
6410,15212,13168,13276,15421
6420,15134,13247,13286,15410
6430,15198,13220,13271,15388
6440,15265,13254,13213,15345
6450,15202,13210,13240,15425
6460,15259,13369,13122,15327
6470,15209,13139,13211,15518
6480,15350,13276,13077,15374
6490,15242,13154,13246,15435
6500,15229,13189,13161,15498
6510,15231,13141,13240,15465
6520,15112,13176,13373,15416
6530,15325,13376,13211,15165
6540,15219,13143,13157,15558
6550,15181,13242,13186,15468
6560,15290,13150,13167,15470
6570,15184,13146,13262,15485
6580,15097,13176,13240,15564
6590,15168,13310,13091,15508
6600,15315,13155,13214,15393
6610,15241,13013,13281,15542
6620,15151,13104,13249,15573
6630,15302,13194,13178,15403
6640,15154,13164,13350,15409
6650,15158,13259,13278,15382
6660,15125,13181,13230,15541
6670,15155,13319,13247,15356
6680,15261,13246,13212,15358
6690,15239,13106,13345,15387
6700,15120,13274,13246,15437
6710,15271,13194,13145,15467
6720,15257,13195,13265,15360
6730,15008,13308,13084,15677
6740,15220,13204,13203,15450
6750,15171,13244,13279,15383
6760,15183,13248,13232,15414
6770,15185,13129,13270,15493
6780,15164,13194,13333,15386
6790,15207,13149,13304,15417
6800,15115,13282,13228,15452
6810,15107,13151,13167,15652
6820,15149,13257,13298,15373
6830,15081,13349,13155,15492
6840,15206,13184,13323,15364
6850,15292,13170,13208,15407
6860,15151,13093,13299,15534
6870,15265,13079,13255,15478
6880,15153,13288,13224,15412
6890,15154,13173,13221,15529
6900,15331,13137,13179,15430
6910,15160,13222,13266,15429
6920,15063,13214,13392,15408
6930,15172,13111,13353,15441
6940,15339,13179,13151,15408
6950,15153,13180,13256,15488
6960,15180,13282,13331,15284
6970,15169,13174,13168,15566
6980,15177,13247,13215,15438
6990,15149,13269,13332,15327
7000,15186,13359,13329,15203
7010,15312,13046,13249,15470
7020,15281,13120,13223,15453
7030,15200,13161,13223,15493
7040,15195,13168,13324,15390
7050,15155,13218,13182,15522
7060,15269,13256,13103,15449
7070,15124,13220,13209,15524
7080,15363,13128,13226,15360
7090,15166,13326,13187,15398
7100,15269,13201,13213,15394
7110,15306,13178,13348,15245
7120,15026,13249,13290,15512
7130,15073,13218,13314,15472
7140,15102,13264,13200,15511
7150,15170,13235,13208,15464
7160,15159,13190,13207,15521
7170,15061,13263,13235,15518
7180,15137,13235,13188,15517
7190,15072,13133,13288,15584
7200,15265,13263,13070,15479
7210,15189,13164,13254,15470
7220,15111,13151,13342,15473
7230,15058,13220,13144,15655
7240,15213,13123,13291,15450
7250,15204,13146,13194,15533
7260,15081,13260,13238,15498
7270,15196,13349,13187,15345
7280,15169,13355,13154,15399
7290,15226,13211,13217,15423
7300,15177,13213,13162,15525
7310,15214,13289,13127,15447
7320,15330,13083,13248,15416
7330,15250,13291,13098,15438
7340,15303,13217,13169,15388
7350,15370,13065,13231,15411
7360,15255,13147,13310,15365
7370,15223,13184,13280,15390
7380,15199,13331,13244,15303
7390,15193,13292,13298,15294
7400,15143,13188,13140,15606
7410,15292,13190,13240,15355
7420,15226,13097,13292,15462
7430,15033,13190,13329,15525
7440,15371,13315,13096,15295
7450,15126,13147,13290,15514
7460,15211,13226,13213,15427
7470,15154,13163,13335,15425
7480,15056,13272,13270,15479
7490,15334,13152,13143,15448
7500,15131,13349,13205,15392
7510,15211,13315,13071,15480
7520,15105,13142,13288,15542
7530,15128,13192,13335,15422
7540,15228,13216,13197,15436
7550,15424,13149,13216,15288
7560,15190,13213,13235,15439
7570,15020,13335,13311,15411
7580,15255,13257,13183,15382
7590,15231,13308,13224,15314
7600,15166,13132,13209,15570
7610,15249,13239,13131,15458
7620,15180,13202,13194,15501
7630,15046,13289,13252,15490
7640,15014,13265,13465,15333
7650,15128,13241,13219,15489
7660,15075,13186,13269,15547
7670,15055,13171,13294,15557
7680,15161,13274,13254,15388
7690,15168,13282,13250,15377
7700,15098,13262,13212,15505
7710,15152,13227,13166,15532
7720,15208,13047,13317,15505
7730,15098,13368,13188,15423
7740,15161,13146,13236,15534
7750,15150,13147,13303,15477
7760,15132,13280,13255,15410
7770,15188,13208,13175,15506
7780,15261,13095,13279,15442
7790,15178,13085,13464,15350
7800,15269,13217,13196,15395
7810,15185,13215,13232,15445
7820,15103,13421,13273,15280
7830,15221,13250,13211,15395
7840,15195,13275,13163,15444
7850,15187,13174,13104,15612
7860,15285,13036,13398,15358
7870,15100,13104,13388,15485
7880,15129,13202,13177,15569
7890,15184,13107,13129,15657
7900,15289,13159,13154,15475
7910,15183,13149,13186,15559
7920,15054,13268,13313,15442
7930,15221,13353,13169,15334
7940,15154,13431,13237,15255
7950,15201,13167,13333,15376
7960,15223,13278,13162,15414
7970,15202,13234,13238,15403
7980,15156,13382,13218,15321
