iteration,0,1,2,3
3450,15195,13255,13235,15392
3460,15190,13183,13197,15507
3470,15130,13203,13231,15513
3480,15171,13209,13275,15422
3490,14982,13060,13341,15694
3500,15117,13308,13267,15385
3510,15205,13259,13175,15438
3520,15292,13159,13170,15456
3530,15260,13245,13227,15345
3540,15218,13203,13229,15427
3550,15239,13159,13340,15339
3560,15141,13167,13336,15433
3570,15228,13142,13278,15429
3580,15159,13276,13259,15383
3590,15172,13238,13314,15353
3600,15155,13215,13180,15527
3610,15172,13105,13215,15585
3620,15257,13339,13074,15407
3630,15314,13150,13155,15458
3640,15198,13225,13179,15475
3650,15227,13294,13239,15317
3660,15201,13225,13323,15328
3670,15006,13218,13366,15487
3680,15266,13222,13164,15425
3690,15101,13314,13165,15497
3700,15084,13243,13225,15525
3710,15287,13116,13306,15368
3720,15359,13129,13197,15392
3730,15178,13204,13257,15438
3740,15110,13231,13417,15319
3750,15164,13249,13376,15288
3760,15023,13095,13237,15722
3770,15165,13293,13161,15458
3780,15230,13134,13198,15515
3790,15307,13273,13135,15362
3800,15250,13170,13133,15524
3810,15167,13250,13202,15458
3820,15114,13264,13183,15516
3830,15154,13205,13262,15456
3840,15175,13244,13309,15349
3850,15235,13235,13180,15427
3860,15185,13218,13311,15363
3870,15030,13234,13282,15531
3880,15295,12980,13324,15478
3890,15187,13074,13336,15480
3900,15205,13254,13319,15299
3910,15196,13205,13201,15475
3920,15327,13136,13156,15458
3930,15290,13211,13239,15337
3940,15398,13124,13285,15270
3950,15154,13161,13218,15544
3960,15119,13291,13245,15422
3970,15272,13215,13131,15459
3980,15188,13250,13153,15486
3990,15101,13289,13305,15382
4000,15120,13349,13141,15467
4010,15208,13262,13228,15379
4020,15302,13179,13222,15374
4030,15272,13210,13066,15529
4040,15146,13284,13203,15444
4050,15207,13206,13227,15437
4060,15255,13310,13227,15285
4070,15053,13314,13350,15360
4080,14976,13248,13262,15591
4090,15273,13082,13154,15568
4100,15071,13203,13259,15544
4110,15210,13154,13182,15531
4120,15215,13110,13300,15452
4130,15025,13247,13312,15493
4140,15145,13141,13275,15516
4150,15063,13278,13299,15437
4160,15157,13184,13159,15577
4170,15328,13181,13181,15387
4180,15277,13200,13251,15349
4190,15087,13269,13279,15442
4200,15296,13121,13299,15361
4210,15235,13196,13220,15426
4220,15147,13273,13212,15445
