iteration,0,1,2,3,4,5,6
4100,2033,6130,1652,174,11,0,0
4110,2050,6108,1642,193,6,1,0
4120,2012,6164,1641,178,5,0,0
4130,1996,6178,1661,160,5,0,0
4140,1970,6245,1605,175,5,0,0
4150,2001,6178,1646,170,5,0,0
4160,1961,6243,1639,150,6,1,0
4170,1947,6269,1627,151,6,0,0
4180,1958,6244,1646,144,8,0,0
4190,1970,6236,1630,153,10,1,0
4200,1984,6218,1623,165,9,1,0
4210,2008,6178,1626,183,4,1,0
4220,1974,6225,1635,159,7,0,0
4230,1985,6200,1648,164,3,0,0
4240,2014,6144,1675,162,5,0,0
4250,2003,6178,1643,168,8,0,0
4260,2017,6150,1655,172,6,0,0
4270,2027,6126,1678,160,7,2,0
4280,2024,6131,1674,163,8,0,0
4290,2024,6133,1667,171,5,0,0
4300,2006,6157,1673,159,5,0,0
4310,1987,6190,1667,149,6,1,0
4320,2026,6131,1670,163,10,0,0
4330,2041,6107,1667,181,4,0,0
4340,2031,6117,1683,159,10,0,0
4350,2008,6165,1653,168,5,1,0
4360,2019,6132,1685,158,6,0,0
4370,2020,6143,1662,168,6,1,0
4380,2009,6165,1652,165,9,0,0
4390,1995,6186,1653,157,8,1,0
4400,2012,6158,1653,172,5,0,0
4410,1992,6204,1631,160,11,2,0
4420,2018,6157,1644,171,8,2,0
4430,2008,6176,1631,178,7,0,0
4440,1991,6196,1641,166,6,0,0
4450,1971,6227,1642,151,9,0,0
4460,1987,6201,1643,163,6,0,0
4470,2001,6194,1620,175,9,1,0
4480,2007,6162,1658,170,3,0,0
4490,1998,6176,1660,160,6,0,0
4500,1999,6176,1654,168,3,0,0
4510,1991,6202,1635,160,12,0,0
4520,2005,6169,1656,161,9,0,0
4530,2019,6139,1677,153,12,0,0
4540,2042,6112,1658,180,8,0,0
4550,1999,6178,1652,167,3,1,0
4560,2001,6184,1638,168,9,0,0
4570,1987,6200,1649,154,10,0,0
4580,2013,6160,1650,168,9,0,0
4590,1986,6202,1646,158,8,0,0
4600,2007,6155,1673,161,4,0,0
4610,2005,6161,1672,153,9,0,0
4620,1991,6170,1692,144,2,0,1
4630,1969,6224,1655,142,10,0,0
4640,1963,6238,1641,152,6,0,0
4650,1968,6235,1633,157,7,0,0
4660,1979,6218,1635,160,8,0,0
4670,1989,6203,1635,165,8,0,0
4680,1992,6200,1630,172,6,0,0
4690,1969,6239,1619,169,4,0,0
4700,1957,6259,1618,159,7,0,0
4710,1967,6241,1622,165,5,0,0
4720,1997,6178,1659,160,6,0,0
4730,2022,6151,1642,175,10,0,0
4740,2018,6147,1660,168,6,1,0
4750,2020,6129,1692,151,6,2,0
4760,2004,6165,1668,153,10,0,0
4770,1989,6183,1673,149,6,0,0
4780,2006,6161,1669,156,7,1,0
4790,2018,6143,1671,157,11,0,0
4800,2003,6171,1663,149,14,0,0
4810,2012,6141,1692,146,8,1,0
4820,2026,6135,1663,166,9,1,0
4830,2048,6080,1707,154,11,0,0
4840,2023,6131,1679,157,10,0,0
4850,2018,6136,1681,158,7,0,0
4860,2002,6161,1677,155,5,0,0
4870,1986,6194,1662,150,8,0,0
4880,1988,6193,1656,157,6,0,0
4890,1980,6212,1646,152,10,0,0
4900,1975,6212,1655,154,4,0,0
4910,1996,6174,1671,152,7,0,0
4920,2031,6117,1685,155,12,0,0
4930,2006,6169,1653,163,9,0,0
4940,1992,6187,1662,148,10,1,0
4950,2001,6172,1663,154,10,0,0
4960,1995,6172,1680,144,9,0,0
4970,1976,6207,1663,149,5,0,0
4980,1969,6229,1644,149,9,0,0
4990,1986,6205,1643,156,9,1,0
5000,1979,6219,1634,160,7,1,0
5010,1989,6206,1633,160,12,0,0
5020,1994,6194,1645,152,15,0,0
5030,1983,6192,1674,144,7,0,0
5040,1982,6200,1664,144,10,0,0
5050,2007,6175,1641,165,12,0,0
5060,1970,6235,1629,157,9,0,0
5070,1979,6229,1616,165,11,0,0
5080,1988,6203,1639,161,9,0,0
5090,1974,6228,1631,159,7,1,0
5100,1967,6245,1620,159,7,2,0
5110,1981,6230,1607,172,10,0,0
5120,1977,6227,1624,163,9,0,0
5130,1968,6234,1638,151,8,1,0
5140,1942,6282,1621,144,11,0,0
5150,1953,6258,1633,148,8,0,0
5160,1986,6192,1664,152,6,0,0
