iteration,0,1,2,3,4,5,6,7,8
2260,253396,206632,149802,47044,3002,121,2,1,0
2270,253274,206810,149809,47007,2957,136,6,1,0
2280,253399,206695,149636,47179,2964,122,5,0,0
2290,253312,206789,149772,46979,3016,126,6,0,0
2300,253564,206383,149882,46990,3030,143,8,0,0
2310,253257,206674,150135,46829,2962,137,6,0,0
2320,253266,206741,149979,46904,2966,139,5,0,0
2330,253439,206588,149792,47022,3038,116,5,0,0
2340,253118,207152,149728,46755,3113,129,5,0,0
2350,252997,207139,149992,46755,2976,138,3,0,0
2360,253153,207028,149741,46976,2955,140,7,0,0
2370,253201,206906,149842,46921,3010,113,7,0,0
2380,253283,206823,149815,46895,3062,118,4,0,0
2390,253654,206206,149989,46928,3088,130,5,0,0
2400,253548,206348,149990,46921,3061,127,5,0,0
2410,253334,206715,149854,46945,3023,124,5,0,0
2420,253448,206502,149979,46870,3079,118,4,0,0
2430,253570,206346,149908,47006,3031,138,1,0,0
2440,253284,206825,149747,47029,2984,128,3,0,0
2450,253321,206684,149971,46875,2998,149,2,0,0
2460,253507,206362,150072,46878,3051,124,6,0,0
2470,253297,206758,149944,46775,3106,115,5,0,0
2480,253327,206757,149860,46824,3112,117,3,0,0
2490,253498,206432,149923,47017,2986,137,7,0,0
2500,253146,207212,149458,47004,3046,128,6,0,0
2510,252924,207263,149867,46914,2902,127,3,0,0
2520,253121,206962,149939,46894,2948,130,6,0,0
2530,252960,207317,149737,46870,2985,127,4,0,0
2540,252850,207490,149711,46849,2963,133,4,0,0
2550,252930,207346,149735,46914,2938,133,3,1,0
2560,253002,207240,149731,46952,2938,132,5,0,0
2570,253227,206893,149807,46934,3009,126,3,1,0
2580,253306,206675,150036,46810,3045,125,3,0,0
2590,253202,206951,149821,46836,3057,128,4,1,0
2600,253624,206206,150046,46940,3045,134,3,2,0
2610,253570,206418,149765,47086,3016,141,3,1,0
2620,253332,206800,149702,46997,3045,119,5,0,0
2630,253401,206677,149792,46910,3093,125,2,0,0
2640,253403,206576,149891,46999,3013,115,3,0,0
2650,253594,206519,149587,47044,3111,139,6,0,0
2660,253291,206909,149706,46848,3099,143,4,0,0
2670,253377,206796,149604,47047,3029,143,4,0,0
2680,253234,206840,149921,46844,3026,128,7,0,0
2690,253204,207035,149694,46850,3062,151,4,0,0
2700,253194,206963,149736,46991,2991,122,3,0,0
2710,253347,206670,149880,46988,2974,136,5,0,0
2720,253334,206843,149619,47041,3023,136,4,0,0
2730,253323,206796,149754,46959,3026,137,5,0,0
2740,253421,206625,149764,47059,2989,138,4,0,0
2750,253186,206927,149840,46922,3001,121,3,0,0
2760,253278,206867,149766,46896,3056,133,4,0,0
2770,253242,206837,149844,46959,2994,122,2,0,0
2780,253130,207159,149627,46910,3018,151,5,0,0
2790,253251,207015,149550,46986,3069,123,6,0,0
2800,253136,207106,149720,46854,3032,148,4,0,0
2810,253395,206746,149617,47093,3010,134,4,1,0
2820,253465,206579,149790,46964,3069,126,6,1,0
2830,253437,206630,149708,47069,3039,112,4,1,0
2840,253334,206736,149784,47019,3004,116,6,1,0
2850,253158,206877,150059,46755,3021,125,4,1,0
2860,253063,207112,149880,46789,3028,120,7,1,0
2870,253233,206834,149980,46744,3075,130,4,0,0
2880,253459,206679,149696,46874,3162,121,9,0,0
2890,253251,206924,149701,46962,3032,121,8,1,0
2900,252967,207291,149760,46870,2987,119,6,0,0
2910,253176,206965,149753,47031,2943,128,4,0,0
2920,253290,206817,149722,47077,2967,122,5,0,0
2930,253327,206863,149629,46990,3050,138,2,1,0
2940,253138,206982,149893,46861,2989,131,4,2,0
2950,253163,206933,149937,46815,3020,126,4,2,0
2960,253268,206820,149900,46812,3060,136,4,0,0
2970,253617,206344,149803,47038,3062,128,8,0,0
2980,253190,206857,149942,46913,2972,124,2,0,0
2990,253484,206604,149694,46997,3091,127,3,0,0
3000,253536,206402,149941,46900,3094,123,3,1,0
3010,253448,206631,149743,46959,3092,124,3,0,0
3020,253253,206920,149749,46865,3083,126,3,1,0
3030,252975,207295,149739,46882,2969,136,3,1,0
3040,252991,207344,149642,46862,3021,138,2,0,0
3050,252595,207815,149822,46662,2980,122,3,1,0
3060,252994,207233,149844,46767,3037,120,5,0,0
3070,252918,207389,149692,46905,2973,118,5,0,0
3080,252921,207348,149804,46800,2997,124,6,0,0
3090,253248,206945,149732,46857,3075,138,5,0,0
3100,253122,207141,149750,46717,3146,120,4,0,0
3110,252975,207250,149883,46732,3018,136,6,0,0
3120,253103,207131,149755,46825,3048,136,2,0,0
3130,253007,207193,149834,46859,2976,128,3,0,0
3140,253142,207092,149753,46807,3052,151,3,0,0
3150,253156,207017,149815,46830,3050,130,1,1,0
3160,253027,207241,149662,46968,2982,118,1,1,0
3170,253044,207177,149841,46764,3026,143,5,0,0
3180,253322,206807,149721,46989,3026,130,5,0,0
3190,253046,207155,149831,46816,3029,119,4,0,0
3200,253137,207018,149848,46849,3005,139,4,0,0
3210,253358,206644,149909,46937,3039,107,6,0,0
3220,253339,206789,149710,46989,3043,128,2,0,0
3230,253160,207035,149684,47014,2984,119,4,0,0
3240,253119,206956,150012,46769,3009,133,2,0,0
3250,253379,206610,149950,46898,3025,132,6,0,0
3260,253188,206778,150226,46598,3079,126,5,0,0
3270,253243,206917,149757,46897,3056,126,4,0,0
3280,253172,206955,149899,46796,3035,139,4,0,0
3290,253129,207076,149798,46810,3042,140,5,0,0
3300,253171,207075,149620,46992,3008,127,7,0,0
3310,253256,206948,149671,46945,3035,135,10,0,0
3320,253189,206933,149946,46693,3108,123,7,1,0
3330,253102,207089,149755,46958,2955,139,2,0,0
3340,253368,206785,149629,47051,3036,126,5,0,0
3350,253359,206707,149852,46884,3058,135,5,0,0
3360,253487,206614,149679,46989,3102,123,4,2,0
3370,253358,206706,149895,46827,3052,157,5,0,0
3380,253662,206372,149682,47036,3090,152,6,0,0
3390,253391,206611,149873,47015,2956,150,4,0,0
3400,253434,206535,149973,46853,3069,132,4,0,0
3410,253536,206493,149738,47031,3076,122,4,0,0
3420,253275,206978,149569,46959,3093,121,5,0,0
3430,253146,207050,149765,46893,2997,141,8,0,0
3440,253284,206901,149683,46918,3099,107,8,0,0
3450,253316,206785,149804,46879,3112,102,2,0,0
3460,253376,206812,149543,47097,3054,113,5,0,0
3470,253672,206265,149814,47028,3088,127,6,0,0
3480,253477,206592,149746,46960,3092,130,3,0,0
3490,253336,206785,149723,46978,3063,108,6,1,0
3500,253175,206939,149903,46803,3058,118,4,0,0
3510,253371,206750,149747,46921,3066,141,4,0,0
3520,253207,206974,149741,46931,2989,153,5,0,0
3530,253710,206109,150063,46855,3122,134,7,0,0
3540,253486,206613,149733,46878,3165,123,2,0,0
3550,253572,206480,149714,46997,3089,143,5,0,0
3560,253427,206859,149424,47014,3136,133,7,0,0
