iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-MB,aggDist-BDAY,aggDist-BYEAR,aggDist-SEX,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4
940,1540946737829,406815,-1.303406634e+07,8263,15956,8669,3422,624590,34515,890,5,0
950,1540946749174,406873,-1.303285137e+07,8061,16017,8675,3570,624635,34421,930,14,0
960,1540946760626,406793,-1.303296700e+07,8263,15789,8736,3448,624706,34366,914,14,0
970,1540946772097,406633,-1.303194305e+07,8340,15631,8560,3562,624862,34192,937,9,0
980,1540946782952,407136,-1.302928819e+07,7849,15792,8819,3566,624903,34180,905,12,0
990,1540946794452,407003,-1.302796339e+07,8059,15473,8720,3525,625161,33912,916,11,0
1000,1540946806309,406867,-1.303285124e+07,8144,15685,8904,3556,624638,34447,903,12,0
1010,1540946817947,406811,-1.303221721e+07,7869,16032,8992,3420,624673,34358,952,17,0
1020,1540946830152,406684,-1.303417101e+07,8265,15766,8883,3495,624584,34437,965,14,0
1030,1540946842054,406917,-1.302794359e+07,7908,15637,8822,3466,625037,34102,852,9,0
1040,1540946854256,407016,-1.302965591e+07,8006,15462,9022,3530,624888,34212,892,8,0
1050,1540946866620,406919,-1.303033552e+07,8041,15518,8996,3440,624936,34139,919,6,0
1060,1540946877235,406869,-1.303323015e+07,8024,15758,9045,3610,624511,34545,940,4,0
1070,1540946888367,407030,-1.302968969e+07,7713,15945,9037,3387,624875,34182,930,12,1
1080,1540946899497,407126,-1.302671917e+07,7439,15952,9054,3457,625062,33984,944,10,0
1090,1540946910234,406977,-1.302755689e+07,7396,16148,8947,3566,624848,34254,891,7,0
1100,1540946922413,406736,-1.303098998e+07,7546,16212,9079,3505,624593,34481,917,9,0
1110,1540946933172,406638,-1.303577729e+07,7920,16197,9091,3524,624215,34844,935,6,0
1120,1540946944902,406453,-1.303432961e+07,7803,16192,9205,3415,624311,34774,904,11,0
1130,1540946955410,406727,-1.303563608e+07,7845,16210,9215,3484,624206,34846,936,12,0
1140,1540946967188,406461,-1.304022072e+07,8052,16421,9236,3503,623796,35210,980,14,0
1150,1540946978616,406381,-1.303896118e+07,8043,16428,9127,3468,623919,35104,969,8,0
1160,1540946989748,406289,-1.303758228e+07,8097,16201,9131,3365,624205,34805,981,9,0
1170,1540947001556,406677,-1.303302879e+07,7937,15829,9160,3474,624574,34460,958,8,0
1180,1540947013349,406781,-1.303118395e+07,8139,15579,8950,3365,624883,34211,896,10,0
1190,1540947023804,406738,-1.303241077e+07,8361,15366,9059,3365,624772,34314,905,9,0
1200,1540947046199,406602,-1.303573105e+07,8496,15507,9050,3417,624518,34507,962,13,0
1210,1540947057420,406696,-1.303260218e+07,8228,15584,9011,3354,624742,34349,899,10,0
1220,1540947069402,406921,-1.303254869e+07,7974,15665,9227,3462,624596,34493,898,13,0
1230,1540947080493,406900,-1.302963943e+07,7793,15848,9047,3333,624929,34131,930,10,0
1240,1540947092134,406908,-1.303054371e+07,7985,15545,9141,3387,624918,34120,948,14,0
1250,1540947103551,406790,-1.303130989e+07,7960,15601,9085,3635,624659,34410,922,9,0
1260,1540947114558,406764,-1.303267597e+07,8062,15537,9259,3539,624537,34542,908,13,0
1270,1540947125952,406456,-1.303801622e+07,8441,15809,9165,3346,624239,34776,970,15,0
1280,1540947138018,406643,-1.303889946e+07,8177,16025,9239,3583,623972,35044,972,12,0
1290,1540947149777,406265,-1.304289827e+07,8524,16176,9114,3440,623739,35276,977,8,0
1300,1540947161740,406410,-1.303966077e+07,8172,16074,9231,3673,623818,35220,956,6,0
1310,1540947173314,406160,-1.304446217e+07,8644,16085,9167,3556,623577,35403,1011,9,0
1320,1540947184738,406117,-1.304190137e+07,8462,16124,9179,3412,623794,35245,951,10,0
1330,1540947195125,406182,-1.304144818e+07,8340,16080,9290,3529,623722,35323,949,6,0
1340,1540947207009,406187,-1.304408338e+07,8395,16116,9466,3570,623443,35576,972,9,0
1350,1540947218165,406520,-1.304108513e+07,8081,16408,9391,3379,623756,35241,991,12,0
1360,1540947230253,406403,-1.303904077e+07,7875,16385,9339,3557,623828,35196,968,8,0
1370,1540947241792,406564,-1.303830315e+07,7873,16318,9389,3488,623904,35132,956,8,0
1380,1540947253121,406479,-1.303725516e+07,7892,16154,9405,3465,624119,34861,1005,15,0
1390,1540947264322,406367,-1.303559457e+07,7725,16370,9277,3393,624197,34853,938,12,0
1400,1540947276549,406431,-1.303361231e+07,7785,15817,9474,3446,624498,34492,1000,10,0
1410,1540947288180,406844,-1.302940267e+07,7471,15955,9260,3541,624763,34259,966,12,0
1420,1540947299449,406556,-1.303309205e+07,7646,15953,9501,3458,624397,34656,939,8,0
1430,1540947311056,406532,-1.303465544e+07,7752,16051,9419,3439,624314,34722,953,11,0
1440,1540947322846,406478,-1.303525112e+07,7874,16086,9345,3339,624303,34758,931,8,0
1450,1540947334084,406470,-1.303766988e+07,8034,16140,9228,3517,624106,34881,1001,12,0
1460,1540947344666,406389,-1.303733089e+07,8177,15861,9177,3616,624153,34875,960,12,0
1470,1540947356248,406442,-1.303994250e+07,8232,16023,9355,3505,623865,35165,960,10,0
1480,1540947366754,406423,-1.304241866e+07,8455,16109,9190,3555,623664,35375,949,12,0
1490,1540947378169,406627,-1.303207856e+07,7859,15799,9130,3515,624675,34357,958,10,0
1500,1540947390016,406556,-1.303681537e+07,7957,16283,9050,3601,624120,34882,985,13,0
1510,1540947402323,406607,-1.303395363e+07,7734,16211,9023,3699,624255,34831,906,8,0
1520,1540947413797,406608,-1.303332569e+07,7715,16268,8981,3633,624364,34684,943,9,0
1530,1540947424575,406481,-1.303712285e+07,8190,15851,9253,3516,624167,34867,955,11,0
1540,1540947436446,406740,-1.303442550e+07,7915,15877,9441,3319,624475,34514,995,16,0
1550,1540947447876,406417,-1.303991449e+07,8019,16439,9391,3276,623855,35173,964,8,0
1560,1540947459457,406289,-1.303960073e+07,7900,16253,9589,3438,623786,35257,948,9,0
1570,1540947471359,406565,-1.303918614e+07,7828,16412,9602,3381,623754,35279,957,10,0
1580,1540947483193,406422,-1.303576907e+07,7734,16421,9251,3437,624131,34904,956,9,0
1590,1540947494963,406347,-1.303856449e+07,7838,16517,9324,3380,623949,35056,982,13,0
1600,1540947506339,406479,-1.303492050e+07,7703,16371,9232,3438,624263,34746,976,14,1
1610,1540947517957,406554,-1.303683931e+07,7798,16387,9237,3547,624031,34976,986,7,0
1620,1540947529983,406457,-1.303827371e+07,7743,16593,9320,3392,623960,35044,984,12,0
1630,1540947541743,406525,-1.303454624e+07,7595,16475,9217,3472,624162,34926,903,9,0
1640,1540947552941,406729,-1.303467390e+07,7675,16343,9289,3400,624241,34823,924,12,0
1650,1540947563741,406478,-1.303582652e+07,7736,16364,9310,3377,624232,34761,995,12,0
1660,1540947575758,406568,-1.303359221e+07,7673,16119,9365,3424,624381,34666,944,9,0
1670,1540947586982,406464,-1.303664188e+07,7811,16349,9452,3251,624132,34887,967,14,0
1680,1540947599102,406753,-1.302900390e+07,7588,15813,9266,3439,624827,34249,915,9,0
1690,1540947609850,406799,-1.302678666e+07,7256,15819,9419,3577,624863,34212,916,9,0
1700,1540947622973,406819,-1.303071083e+07,7555,15897,9436,3453,624607,34454,930,9,0
1710,1540947634260,406890,-1.302416553e+07,7399,15404,9357,3558,625159,33973,859,9,0
1720,1540947645993,406789,-1.302942466e+07,7490,15674,9581,3501,624743,34283,959,15,0
1730,1540947656964,406943,-1.302925837e+07,7413,15691,9558,3604,624766,34215,1006,13,0
1740,1540947668769,406620,-1.303411463e+07,7889,15825,9439,3436,624414,34603,963,20,0
1750,1540947680270,406535,-1.303362014e+07,7832,15773,9528,3394,624476,34534,978,11,1
1760,1540947692378,406605,-1.303376482e+07,7951,15575,9501,3534,624436,34578,975,11,0
1770,1540947703981,406713,-1.303722977e+07,8131,15644,9548,3603,624143,34798,1049,10,0
1780,1540947715117,406684,-1.303261358e+07,7886,15629,9369,3585,624525,34493,970,12,0
