iteration,0,1,2,3,4,5,6
2740,2002,6169,1663,159,7,0,0
2750,2010,6158,1661,164,7,0,0
2760,1998,6159,1693,145,5,0,0
2770,1971,6212,1670,140,7,0,0
2780,1971,6217,1661,143,8,0,0
2790,2006,6169,1656,158,10,1,0
2800,1975,6207,1665,149,4,0,0
2810,1981,6206,1656,147,9,1,0
2820,1998,6181,1651,163,7,0,0
2830,2010,6156,1664,164,6,0,0
2840,2009,6156,1666,164,5,0,0
2850,1992,6188,1653,162,5,0,0
2860,1979,6208,1651,158,4,0,0
2870,1961,6244,1633,158,4,0,0
2880,1979,6208,1655,150,8,0,0
2890,1990,6186,1664,154,6,0,0
2900,1951,6258,1637,148,6,0,0
2910,1971,6212,1669,142,6,0,0
2920,1944,6262,1648,142,4,0,0
2930,1949,6252,1653,142,4,0,0
2940,1935,6296,1613,146,10,0,0
2950,1964,6250,1616,162,8,0,0
2960,1970,6242,1620,154,14,0,0
2970,1967,6233,1648,138,13,1,0
2980,1979,6217,1640,153,11,0,0
2990,1972,6219,1658,139,12,0,0
3000,1994,6186,1655,156,9,0,0
3010,1975,6226,1634,154,11,0,0
3020,2001,6179,1647,165,8,0,0
3030,1992,6179,1675,145,9,0,0
3040,1983,6187,1681,145,4,0,0
3050,2008,6148,1685,154,5,0,0
3060,1981,6201,1661,152,4,1,0
3070,1974,6218,1654,143,10,1,0
3080,1953,6250,1646,147,3,1,0
3090,1965,6244,1623,162,6,0,0
3100,1962,6249,1629,148,11,1,0
3110,1965,6233,1652,138,11,1,0
3120,1979,6216,1649,139,16,1,0
3130,1971,6233,1637,145,12,2,0
3140,1986,6208,1643,146,17,0,0
3150,1979,6215,1647,147,11,0,1
3160,2002,6165,1675,147,11,0,0
3170,1997,6176,1669,146,12,0,0
3180,1974,6212,1661,147,5,1,0
3190,1978,6209,1660,141,12,0,0
3200,1977,6213,1650,153,7,0,0
3210,1982,6202,1655,156,5,0,0
3220,1975,6223,1638,155,9,0,0
3230,1987,6205,1639,159,10,0,0
3240,1975,6217,1646,157,5,0,0
3250,1973,6233,1621,167,6,0,0
3260,1963,6248,1627,150,12,0,0
3270,1967,6229,1654,138,11,1,0
3280,1994,6192,1649,151,13,1,0
3290,1983,6208,1646,154,7,2,0
3300,1964,6246,1625,157,7,1,0
3310,1990,6187,1665,150,7,1,0
3320,1969,6217,1664,145,5,0,0
3330,1978,6215,1644,155,8,0,0
3340,2018,6131,1692,151,8,0,0
3350,2000,6174,1663,153,9,1,0
3360,2015,6141,1678,161,5,0,0
3370,1991,6198,1641,160,10,0,0
3380,2012,6154,1663,164,7,0,0
3390,1988,6195,1656,151,10,0,0
3400,2001,6168,1673,146,12,0,0
3410,1979,6229,1616,165,11,0,0
3420,1986,6209,1630,169,6,0,0
3430,1987,6194,1655,160,4,0,0
3440,1998,6185,1642,169,6,0,0
3450,2016,6150,1661,164,9,0,0
3460,2011,6147,1677,161,4,0,0
3470,1981,6214,1635,164,6,0,0
3480,2014,6141,1685,151,9,0,0
3490,2007,6163,1659,165,6,0,0
3500,1974,6216,1654,148,8,0,0
3510,1982,6199,1663,149,7,0,0
3520,1979,6204,1657,158,2,0,0
3530,1974,6219,1648,151,8,0,0
3540,1991,6180,1674,148,7,0,0
3550,2012,6145,1681,155,7,0,0
3560,2026,6125,1679,163,7,0,0
3570,2030,6105,1707,151,7,0,0
3580,2006,6154,1679,156,5,0,0
3590,2016,6137,1683,159,5,0,0
3600,2013,6145,1682,150,9,1,0
3610,2028,6119,1685,161,7,0,0
3620,2004,6158,1677,156,5,0,0
3630,2011,6155,1663,166,4,1,0
3640,2035,6107,1696,149,12,0,1
3650,2002,6164,1674,152,8,0,0
3660,2019,6141,1668,165,7,0,0
3670,2030,6121,1677,163,9,0,0
3680,2012,6148,1677,154,9,0,0
3690,2040,6103,1684,163,10,0,0
3700,2066,6052,1703,174,5,0,0
3710,2040,6102,1685,166,5,2,0
3720,2011,6151,1674,157,5,2,0
3730,2015,6139,1682,159,5,0,0
3740,2011,6150,1675,156,8,0,0
3750,2006,6173,1646,166,8,1,0
3760,1991,6188,1660,152,9,0,0
3770,2003,6163,1672,155,7,0,0
3780,1992,6185,1663,151,9,0,0
3790,1989,6186,1672,143,9,1,0
3800,1978,6206,1663,145,7,1,0
3810,1965,6242,1627,160,6,0,0
3820,1976,6216,1649,150,9,0,0
3830,1976,6229,1626,158,10,1,0
3840,2015,6148,1666,165,5,1,0
3850,2023,6134,1672,162,9,0,0
3860,2010,6153,1672,157,8,0,0
3870,2007,6158,1669,160,6,0,0
3880,2000,6170,1672,146,12,0,0
3890,2008,6164,1658,160,10,0,0
3900,2043,6104,1675,166,12,0,0
3910,2060,6084,1666,176,14,0,0
3920,2019,6148,1657,167,8,1,0
3930,2026,6140,1654,168,12,0,0
3940,2037,6121,1658,173,11,0,0
3950,2034,6128,1652,176,10,0,0
3960,2014,6158,1651,168,9,0,0
3970,2003,6171,1663,150,12,1,0
3980,2037,6122,1657,172,12,0,0
3990,2026,6134,1664,166,10,0,0
4000,2009,6170,1643,168,10,0,0
4010,1999,6197,1620,174,9,1,0
4020,1995,6198,1628,170,9,0,0
4030,2013,6174,1625,177,10,1,0
4040,2003,6177,1649,160,10,1,0
4050,2006,6162,1664,162,6,0,0
4060,2025,6146,1649,164,16,0,0
4070,2056,6094,1654,186,10,0,0
4080,2025,6140,1652,176,7,0,0
4090,2018,6145,1667,159,11,0,0
4100,1994,6175,1677,145,9,0,0
4110,1979,6208,1649,162,2,0,0
4120,1983,6189,1675,151,2,0,0
4130,1991,6170,1692,142,5,0,0
4140,2011,6145,1682,157,5,0,0
4150,2020,6140,1669,163,7,1,0
4160,2035,6117,1668,173,7,0,0
4170,2042,6102,1679,168,9,0,0
4180,2029,6100,1716,152,3,0,0
4190,2051,6089,1677,175,8,0,0
4200,2050,6087,1687,165,11,0,0
4210,2038,6107,1683,161,11,0,0
4220,2023,6130,1679,161,6,1,0
4230,1999,6168,1675,150,8,0,0
4240,2016,6129,1702,145,8,0,0
4250,2003,6152,1695,142,8,0,0
4260,2014,6134,1695,152,5,0,0
4270,2020,6128,1693,150,9,0,0
4280,1998,6153,1707,135,7,0,0
4290,1982,6193,1677,139,9,0,0
4300,2005,6146,1701,140,8,0,0
4310,2005,6155,1681,153,6,0,0
4320,2014,6141,1684,153,8,0,0
4330,2004,6159,1682,143,12,0,0
4340,2015,6138,1690,146,11,0,0
4350,2011,6154,1670,155,9,1,0
4360,1991,6183,1671,146,8,1,0
4370,1974,6209,1666,145,6,0,0
4380,1993,6191,1646,163,7,0,0
4390,1983,6207,1650,147,13,0,0
4400,1960,6242,1646,143,8,1,0
4410,1969,6233,1639,148,10,1,0
4420,1948,6275,1615,153,9,0,0
4430,1937,6290,1617,149,6,1,0
4440,1925,6304,1625,139,6,1,0
4450,1945,6283,1607,157,8,0,0
4460,1959,6257,1621,152,10,1,0
4470,1975,6227,1631,157,10,0,0
4480,1979,6209,1656,145,11,0,0
4490,1962,6233,1656,141,8,0,0
4500,1966,6218,1675,133,7,1,0
4510,1933,6281,1650,126,9,1,0
4520,1967,6228,1652,144,9,0,0
4530,1979,6216,1645,146,14,0,0
4540,1998,6179,1656,159,8,0,0
4550,2029,6124,1672,168,7,0,0
4560,2044,6094,1689,164,9,0,0
4570,2070,6057,1685,179,9,0,0
4580,2054,6087,1673,178,7,1,0
4590,2041,6102,1678,174,5,0,0
4600,2028,6116,1689,162,5,0,0
4610,1993,6187,1653,161,6,0,0
4620,1995,6177,1669,152,6,1,0
4630,2019,6139,1675,157,10,0,0
4640,1968,6229,1643,155,5,0,0
4650,1965,6232,1647,150,6,0,0
4660,1982,6220,1623,166,9,0,0
4670,1999,6183,1645,165,8,0,0
4680,1998,6176,1663,154,9,0,0
4690,2003,6173,1658,153,13,0,0
4700,2016,6147,1667,161,9,0,0
4710,1989,6192,1657,154,8,0,0
4720,1994,6192,1641,166,7,0,0
4730,2001,6166,1673,153,6,1,0
4740,1992,6178,1674,150,6,0,0
4750,2005,6164,1665,158,8,0,0
4760,2021,6135,1677,158,8,1,0
4770,1974,6212,1665,138,11,0,0
4780,1991,6184,1669,146,10,0,0
4790,1974,6237,1617,159,13,0,0
4800,1983,6220,1623,162,12,0,0
4810,1998,6190,1643,152,17,0,0
4820,2023,6132,1678,156,11,0,0
4830,2019,6147,1661,161,12,0,0
4840,1977,6219,1641,153,10,0,0
