iteration,0,1,2,3,4,5,6,7,8
3060,253342,206700,149843,46977,3013,120,4,1,0
3070,253367,206658,149920,46866,3048,134,7,0,0
3080,253172,206955,149772,47028,2956,110,6,1,0
3090,253417,206637,149778,47002,3035,125,6,0,0
3100,253203,206793,150008,46948,2900,142,5,1,0
3110,253102,206979,149978,46833,2981,122,3,2,0
3120,253196,206948,149782,46943,3003,123,3,2,0
3130,253564,206407,149890,46884,3117,135,3,0,0
3140,253547,206361,149931,46998,3036,123,4,0,0
3150,253446,206499,149922,47009,2994,126,4,0,0
3160,253414,206573,149910,46940,3031,129,3,0,0
3170,253398,206540,150021,46880,3030,128,3,0,0
3180,253473,206586,149707,47071,3032,127,4,0,0
3190,253609,206373,149772,47040,3072,130,3,1,0
3200,253540,206465,149819,46949,3087,138,2,0,0
3210,253379,206708,149745,47005,3034,123,6,0,0
3220,253454,206476,150016,46864,3056,128,6,0,0
3230,253310,206858,149755,46807,3146,117,7,0,0
3240,253362,206755,149739,46923,3109,110,2,0,0
3250,253349,206645,149977,46837,3071,120,1,0,0
3260,253121,207118,149709,46876,3046,128,2,0,0
3270,252902,207434,149745,46731,3061,123,4,0,0
3280,252983,207135,149998,46796,2965,117,6,0,0
3290,253059,207030,149984,46859,2917,149,2,0,0
3300,253290,206830,149838,46805,3109,125,3,0,0
3310,253229,207047,149545,46994,3047,135,3,0,0
3320,253116,207192,149647,46806,3103,132,4,0,0
3330,253160,207058,149801,46720,3130,126,5,0,0
3340,253415,206753,149662,46903,3129,130,8,0,0
3350,253212,207015,149719,46806,3117,125,6,0,0
3360,253435,206596,149849,46895,3108,113,4,0,0
3370,253560,206432,149757,47076,3054,116,5,0,0
3380,253627,206339,149714,47194,2986,133,7,0,0
3390,253576,206488,149653,47072,3071,135,4,1,0
3400,253327,206841,149676,46945,3088,118,5,0,0
3410,253287,206805,149901,46771,3106,124,6,0,0
3420,253550,206426,149842,46990,3049,134,9,0,0
3430,253497,206481,149879,46943,3074,120,6,0,0
3440,253471,206660,149709,46863,3155,139,3,0,0
3450,253402,206686,149731,47012,3038,122,9,0,0
3460,253464,206722,149579,46958,3145,126,6,0,0
3470,253552,206536,149640,47053,3076,138,4,1,0
3480,253488,206749,149411,47115,3109,120,8,0,0
3490,253202,207141,149447,47030,3031,143,6,0,0
3500,253303,206902,149637,46959,3055,138,5,1,0
3510,253354,206881,149537,47007,3087,128,6,0,0
3520,253318,206791,149774,46919,3093,98,7,0,0
3530,253206,207109,149559,46876,3110,135,5,0,0
3540,253256,207025,149506,47022,3068,116,5,1,1
3550,253337,206831,149632,47031,3038,126,5,0,0
3560,253142,207063,149781,46804,3092,113,5,0,0
3570,253036,207132,149899,46812,2976,140,5,0,0
3580,252868,207354,149862,46868,2927,116,5,0,0
3590,253140,207007,149819,46919,2983,126,6,0,0
3600,253174,207065,149652,46943,3035,124,7,0,0
3610,253593,206406,149793,46961,3116,125,6,0,0
3620,253330,206814,149670,47037,3016,128,4,1,0
3630,253274,206851,149754,46977,3016,122,6,0,0
3640,253391,206544,150060,46823,3050,126,5,1,0
3650,253407,206685,149712,47031,3031,131,2,1,0
3660,253458,206496,149950,46908,3064,120,4,0,0
3670,253612,206319,149811,47105,3027,120,6,0,0
3680,253720,206082,149994,47028,3039,133,3,1,0
3690,253630,206209,150022,46939,3075,120,5,0,0
3700,253802,205983,149982,47025,3069,132,7,0,0
3710,253524,206322,150079,46914,3034,120,7,0,0
3720,253492,206610,149628,47075,3073,115,7,0,0
3730,253471,206480,149992,46839,3077,135,6,0,0
3740,253397,206592,149981,46815,3077,135,3,0,0
3750,253227,206964,149770,46802,3101,130,6,0,0
3760,253363,206569,150090,46807,3033,131,6,1,0
3770,253324,206760,149822,46903,3073,113,5,0,0
3780,253267,206942,149699,46841,3122,125,4,0,0
3790,253475,206553,149752,47089,2985,140,6,0,0
3800,253395,206642,149758,47121,2947,131,6,0,0
3810,253610,206262,150009,46890,3098,128,3,0,0
3820,253541,206434,149836,46989,3076,121,3,0,0
3830,253481,206516,149830,47011,3028,127,5,2,0
3840,253496,206445,149988,46838,3106,122,4,1,0
3850,253143,207085,149732,46840,3074,122,3,1,0
3860,253280,206822,149806,46926,3045,118,3,0,0
3870,253665,206184,149947,47032,3040,127,4,1,0
3880,253662,206247,149844,47058,3058,128,2,1,0
3890,253505,206502,149805,46998,3060,126,4,0,0
3900,253716,206166,149891,46992,3101,132,2,0,0
3910,253686,206084,150172,46808,3107,138,5,0,0
3920,253639,206235,149938,47009,3039,134,6,0,0
3930,253664,206129,150032,47017,3036,120,2,0,0
3940,253805,205980,149995,46986,3104,125,4,1,0
3950,253814,205952,150049,46935,3109,137,4,0,0
3960,253821,205765,150350,46865,3063,128,8,0,0
3970,253623,206305,149964,46802,3175,125,6,0,0
3980,253287,206724,149994,46828,3038,122,7,0,0
3990,253309,206768,149933,46722,3145,118,5,0,0
4000,253595,206343,149917,46901,3109,127,7,1,0
4010,253799,206085,149772,47133,3088,118,5,0,0
4020,253847,205994,149791,47176,3068,120,4,0,0
4030,253811,205981,149960,47036,3077,127,8,0,0
4040,253583,206414,149762,47058,3037,136,10,0,0
4050,253780,206060,149876,47072,3096,108,8,0,0
4060,253662,206252,149812,47106,3042,118,8,0,0
4070,253694,206130,150002,46994,3024,149,6,1,0
4080,253917,205976,149762,47061,3111,166,6,1,0
4090,253660,206337,149701,47094,3067,135,6,0,0
4100,253629,206414,149690,47003,3129,129,6,0,0
4110,253368,206694,149806,46976,3018,134,4,0,0
4120,253456,206434,150077,46847,3066,113,7,0,0
4130,253376,206673,149792,47043,2970,142,4,0,0
4140,253140,206985,149937,46730,3093,111,4,0,0
4150,253150,207070,149744,46829,3084,119,4,0,0
4160,253119,207025,149852,46882,2992,123,7,0,0
4170,253445,206538,149933,46877,3078,121,8,0,0
4180,253387,206592,149986,46845,3052,135,3,0,0
4190,253380,206549,150063,46844,3034,124,5,1,0
4200,253315,206782,149787,46953,3036,121,6,0,0
4210,253440,206499,149997,46886,3046,127,5,0,0
4220,253310,206681,150098,46659,3120,126,6,0,0
4230,253154,206952,149993,46666,3115,116,4,0,0
4240,253191,206820,150086,46738,3035,126,4,0,0
4250,253379,206600,149973,46874,3044,124,6,0,0
4260,253267,206926,149718,46845,3123,115,6,0,0
4270,252936,207352,149780,46772,3034,120,6,0,0
4280,252900,207444,149686,46825,3022,117,6,0,0
4290,253259,206865,149706,47087,2958,120,5,0,0
4300,253210,206994,149573,47147,2965,107,4,0,0
4310,253326,206631,149991,46943,2995,107,6,1,0
4320,253244,206836,149926,46807,3050,131,6,0,0
4330,253333,206622,149966,46994,2967,112,6,0,0
4340,253404,206519,150006,46926,3039,101,5,0,0
4350,253420,206746,149608,46999,3099,124,3,1,0
4360,253518,206522,149720,47052,3062,122,4,0,0
4370,253343,206738,149770,46994,3038,114,3,0,0
4380,253401,206674,149756,46980,3075,110,4,0,0
4390,253540,206445,149795,47043,3055,117,4,1,0
4400,253473,206557,149732,47095,3024,116,3,0,0
4410,253840,205829,150189,46915,3093,128,6,0,0
4420,253651,206253,149859,47065,3033,132,7,0,0
4430,253632,206202,150058,46880,3105,116,7,0,0
4440,253385,206629,149964,46806,3062,148,5,1,0
4450,253552,206374,149825,47168,2944,128,7,2,0
4460,253480,206464,149924,46981,3013,135,3,0,0
4470,253715,206048,150213,46717,3165,137,5,0,0
4480,253545,206318,150061,46874,3076,122,4,0,0
4490,253457,206489,149917,47002,3012,115,8,0,0
4500,253459,206443,150036,46903,3027,124,8,0,0
4510,253326,206537,150185,46837,3002,105,7,1,0
4520,253069,207060,149952,46776,3013,124,6,0,0
4530,253116,206983,149933,46847,3001,114,6,0,0
4540,253210,206813,150006,46850,2984,133,4,0,0
4550,253307,206687,150010,46823,3046,122,5,0,0
4560,253426,206456,150094,46861,3049,107,7,0,0
4570,253367,206667,149860,46956,3013,130,6,1,0
4580,253228,206810,149935,46934,2956,129,7,1,0
4590,253368,206588,150013,46860,3055,110,6,0,0
4600,253461,206539,149861,46957,3052,121,8,1,0
4610,253404,206591,149950,46849,3072,130,4,0,0
4620,253241,206843,149936,46771,3074,134,1,0,0
4630,253541,206445,149839,46963,3077,130,5,0,0
