iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-MB,aggDist-BDAY,aggDist-BYEAR,aggDist-SEX,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4
1410,1545620496275,406990,-1.302713855e+07,7655,15215,9634,3393,625022,34069,899,10,0
1420,1545620507527,406529,-1.303354727e+07,8041,15397,9560,3482,624469,34590,933,8,0
1430,1545620519637,406900,-1.302944241e+07,7755,15278,9567,3527,624816,34253,919,12,0
1440,1545620530954,406669,-1.303448291e+07,8224,15448,9375,3418,624450,34641,903,6,0
1450,1545620542340,406535,-1.303558269e+07,8346,15380,9501,3268,624489,34537,964,10,0
1460,1545620554170,406925,-1.303239415e+07,8140,15330,9275,3553,624638,34435,918,9,0
1470,1545620565962,407033,-1.302969023e+07,8184,14991,9311,3508,624922,34173,894,11,0
1480,1545620577761,406965,-1.303016035e+07,7930,15444,9335,3390,624782,34344,867,7,0
1490,1545620589357,407086,-1.302638017e+07,8009,15026,9158,3440,625335,33713,936,16,0
1500,1545620601854,406781,-1.303362675e+07,8170,15441,9336,3452,624581,34447,964,8,0
1510,1545620611859,406586,-1.303718471e+07,8200,15578,9486,3554,624171,34852,965,12,0
1520,1545620622650,406526,-1.303300558e+07,8022,15526,9317,3515,624606,34418,966,10,0
1530,1545620634552,406709,-1.302966879e+07,7801,15506,9449,3365,624826,34238,925,11,0
1540,1545620646791,406870,-1.303448483e+07,7944,15892,9323,3343,624433,34639,921,7,0
1550,1545620658854,406565,-1.303717457e+07,8156,15788,9468,3375,624182,34859,949,10,0
1560,1545620671054,406746,-1.303481138e+07,7990,15834,9357,3402,624400,34627,963,10,0
1570,1545620683121,406185,-1.303977732e+07,8278,16103,9281,3365,623957,35075,952,16,0
1580,1545620694698,406326,-1.303710261e+07,8212,15888,9284,3405,624191,34837,964,8,0
1590,1545620705763,406398,-1.303643014e+07,8090,15963,9270,3381,624177,34954,857,12,0
1600,1545620718300,406606,-1.303593111e+07,7916,16226,9185,3402,624241,34802,944,13,0
1610,1545620729658,406529,-1.303649476e+07,7953,16172,9270,3456,624176,34808,1005,11,0
1620,1545620741780,406670,-1.303383958e+07,7758,16310,9114,3329,624410,34674,911,5,0
1630,1545620753669,406440,-1.303712044e+07,7858,16368,9227,3483,624098,34878,1014,10,0
1640,1545620766429,406246,-1.304073528e+07,7987,16512,9400,3353,623797,35162,1033,8,0
1650,1545620778086,406429,-1.303654527e+07,7677,16463,9342,3445,624074,34935,981,10,0
1660,1545620789435,406612,-1.303310996e+07,7583,16255,9330,3408,624435,34564,991,10,0
1670,1545620801181,406619,-1.303466119e+07,7601,16344,9469,3344,624183,34882,929,6,0
1680,1545620813295,406588,-1.303301268e+07,7791,16159,9172,3366,624466,34592,930,12,0
1690,1545620824730,406715,-1.303215692e+07,7570,16234,9278,3407,624467,34585,940,8,0
