iteration,0,1,2,3,4,5,6,7,8,9,10
1780,29969,8631,9689,6608,1769,324,64,20,3,0,0
1790,29935,8683,9640,6685,1722,321,72,18,1,0,0
1800,29868,8687,9786,6633,1698,324,62,17,2,0,0
1810,29853,8720,9803,6561,1731,326,70,10,3,0,0
1820,29853,8747,9718,6647,1706,320,74,11,1,0,0
1830,29899,8648,9788,6605,1749,308,62,15,2,1,0
1840,29900,8676,9753,6597,1754,316,64,13,3,1,0
1850,29920,8714,9669,6586,1776,329,67,12,4,0,0
1860,29901,8637,9878,6471,1786,322,63,14,4,1,0
1870,29873,8707,9797,6544,1735,341,63,15,2,0,0
1880,29977,8575,9781,6581,1725,343,84,10,1,0,0
1890,29790,8795,9810,6566,1703,340,62,8,3,0,0
1900,29870,8673,9798,6646,1679,328,70,10,3,0,0
1910,29819,8780,9728,6648,1718,302,61,19,2,0,0
1920,29881,8740,9695,6623,1726,321,72,16,2,1,0
1930,29961,8630,9656,6686,1744,318,68,9,5,0,0
1940,29965,8638,9668,6623,1782,323,61,12,4,1,0
1950,29936,8675,9617,6724,1736,308,64,10,5,2,0
1960,29942,8658,9659,6679,1740,313,69,12,4,1,0
1970,29906,8703,9690,6621,1751,327,64,12,3,0,0
1980,29937,8655,9719,6571,1808,308,61,13,3,2,0
1990,29909,8753,9601,6651,1759,313,75,11,4,1,0
2000,29898,8738,9711,6557,1747,326,77,20,2,0,1
2010,29908,8699,9688,6645,1731,315,72,16,3,0,0
2020,29958,8624,9706,6651,1717,332,69,14,6,0,0
2030,29868,8693,9708,6735,1692,304,64,13,0,0,0
2040,29887,8663,9743,6688,1720,294,63,17,1,1,0
2050,29800,8777,9772,6636,1701,317,59,15,0,0,0
2060,29840,8799,9689,6615,1741,295,73,22,3,0,0
2070,29789,8831,9732,6623,1709,300,75,17,1,0,0
2080,29910,8644,9760,6659,1686,331,72,15,0,0,0
2090,30034,8551,9690,6611,1760,333,81,14,3,0,0
2100,29969,8669,9616,6621,1784,345,61,10,2,0,0
2110,29950,8653,9697,6590,1768,339,69,9,2,0,0
2120,29894,8794,9595,6593,1796,318,70,16,1,0,0
