iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
810,1545095278334,27157,-1.013372552e+06,862,2284,4020,5755,54,61,45209,10740,1088,40,0,0,0
820,1545095365387,27201,-1.012083816e+06,690,2184,4003,5826,52,65,45371,10631,1036,39,0,0,0
830,1545095453300,27183,-1.010960278e+06,757,2228,3997,5634,51,51,45428,10615,999,35,0,0,0
840,1545095542482,27239,-1.011545666e+06,756,2247,3913,5685,54,79,45462,10521,1069,25,0,0,0
850,1545095630218,27180,-1.013251855e+06,679,2319,4099,5806,58,66,45225,10710,1109,33,0,0,0
860,1545095717223,27115,-1.013099790e+06,790,2339,4033,5722,49,54,45253,10689,1107,28,0,0,0
870,1545095802439,27141,-1.012598583e+06,770,2280,4029,5729,65,56,45277,10704,1063,33,0,0,0
880,1545095888467,27169,-1.011966646e+06,741,2284,4039,5629,62,63,45358,10659,1021,39,0,0,0
890,1545095974684,27061,-1.012579581e+06,680,2266,4124,5744,47,62,45301,10659,1087,30,0,0,0
900,1545096061797,27168,-1.013865411e+06,741,2339,4113,5821,60,59,45142,10764,1144,27,0,0,0
910,1545096148385,27181,-1.012751327e+06,692,2333,4064,5673,60,70,45328,10636,1084,28,1,0,0
920,1545096236440,27200,-1.012508846e+06,627,2318,4087,5696,52,60,45417,10515,1110,35,0,0,0
930,1545096324041,27105,-1.013542593e+06,839,2250,4221,5628,66,72,45172,10772,1095,38,0,0,0
940,1545096411167,27229,-1.013129172e+06,749,2404,4193,5537,57,64,45257,10668,1120,32,0,0,0
950,1545096498299,27149,-1.012953532e+06,765,2360,4188,5538,58,59,45251,10714,1082,30,0,0,0
960,1545096585316,27177,-1.012785147e+06,771,2222,4216,5652,63,51,45290,10641,1104,42,0,0,0
970,1545096671983,27150,-1.012646498e+06,724,2249,4164,5648,47,52,45298,10699,1055,25,0,0,0
980,1545096758944,27132,-1.013753315e+06,846,2252,4128,5768,55,47,45146,10795,1107,29,0,0,0
990,1545096844863,27111,-1.013671675e+06,804,2264,4049,5826,49,69,45153,10821,1069,34,0,0,0
1000,1545096931468,27140,-1.012688498e+06,758,2136,4047,5840,64,56,45346,10595,1102,34,0,0,0
1010,1545097017864,27123,-1.013298096e+06,736,2289,4122,5783,57,63,45223,10691,1131,31,1,0,0
1020,1545097106199,27199,-1.013048137e+06,761,2276,4082,5743,56,61,45221,10771,1047,38,0,0,0
1030,1545097193584,27134,-1.013399402e+06,733,2237,4212,5740,49,61,45210,10733,1104,29,1,0,0
1040,1545097280065,27236,-1.012536887e+06,793,2244,3992,5789,49,62,45323,10620,1093,41,0,0,0
1050,1545097365126,27242,-1.011849295e+06,663,2267,4062,5703,42,68,45397,10584,1067,29,0,0,0
1060,1545097450947,27129,-1.013462134e+06,785,2382,4043,5734,68,58,45184,10756,1098,38,1,0,0
1070,1545097536833,27165,-1.012492929e+06,677,2339,4036,5757,52,57,45309,10658,1071,38,1,0,0
1080,1545097621984,27146,-1.012531240e+06,770,2225,4028,5778,58,63,45301,10670,1066,40,0,0,0
1090,1545097707673,27121,-1.013054470e+06,756,2311,4113,5738,50,59,45245,10677,1115,40,0,0,0
1100,1545097792980,27145,-1.013667775e+06,749,2324,4148,5721,53,49,45210,10728,1101,38,0,0,0
1110,1545097878995,27236,-1.012640225e+06,699,2379,3972,5648,50,87,45383,10582,1084,27,1,0,0
1120,1545097963941,27260,-1.012109871e+06,757,2351,3955,5694,49,50,45368,10590,1091,28,0,0,0
1130,1545098050248,27156,-1.012852307e+06,754,2251,4155,5680,61,59,45237,10747,1067,25,1,0,0
1140,1545098136699,27179,-1.012826664e+06,777,2210,4126,5763,59,40,45254,10700,1095,27,1,0,0
1150,1545098223538,27209,-1.013192941e+06,723,2195,4173,5708,55,63,45288,10699,1052,38,0,0,0
1160,1545098309908,27201,-1.013078836e+06,708,2164,4262,5692,55,68,45292,10652,1102,31,0,0,0
1170,1545098396107,27235,-1.012132604e+06,761,2206,4154,5605,35,63,45358,10635,1063,21,0,0,0
1180,1545098481553,27242,-1.011754661e+06,770,2199,4028,5670,68,58,45372,10647,1029,28,1,0,0
1190,1545098567011,27145,-1.012988171e+06,723,2259,4212,5708,59,48,45231,10713,1103,30,0,0,0
1200,1545098652818,27136,-1.013546464e+06,727,2314,4180,5791,51,50,45174,10738,1120,45,0,0,0
1210,1545098737949,27230,-1.012831187e+06,763,2326,4029,5770,43,58,45263,10669,1115,30,0,0,0
1220,1545098823451,27345,-1.010614099e+06,775,2264,4056,5442,51,61,45515,10515,1007,40,0,0,0
1230,1545098910773,27245,-1.012110674e+06,753,2448,4063,5468,52,57,45399,10550,1093,35,0,0,0
1240,1545098997517,27125,-1.013880067e+06,792,2408,4087,5772,46,44,45181,10686,1169,39,2,0,0
1250,1545099084592,27149,-1.013651293e+06,793,2462,4053,5745,45,60,45133,10767,1140,37,0,0,0
1260,1545099171310,27230,-1.012861772e+06,771,2285,4091,5732,58,60,45212,10762,1074,29,0,0,0
1270,1545099258080,27183,-1.012528701e+06,744,2381,4018,5685,47,53,45309,10646,1084,38,0,0,0
1280,1545099343856,27109,-1.012909260e+06,709,2426,4114,5628,59,53,45259,10684,1097,37,0,0,0
1290,1545099430003,27234,-1.012406814e+06,691,2320,4105,5654,46,62,45343,10626,1073,34,1,0,0
1300,1545099517022,27147,-1.013693365e+06,779,2424,4094,5686,43,57,45186,10739,1113,38,1,0,0
1310,1545099604121,27197,-1.013382045e+06,689,2361,4258,5597,53,56,45249,10668,1134,26,0,0,0
1320,1545099690512,27192,-1.012462349e+06,768,2339,4200,5570,59,52,45224,10758,1055,40,0,0,0
1330,1545099778116,27134,-1.013242768e+06,789,2367,4310,5495,48,56,45222,10683,1134,38,0,0,0
1340,1545099866141,27137,-1.013875225e+06,755,2333,4305,5651,59,55,45162,10717,1154,43,1,0,0
1350,1545099953207,27142,-1.013900507e+06,800,2370,4206,5584,65,75,45143,10800,1104,28,2,0,0
1360,1545100040393,27106,-1.014014045e+06,822,2371,4245,5545,61,72,45181,10711,1150,35,0,0,0
1370,1545100128939,27061,-1.014323445e+06,779,2468,4202,5697,52,55,45081,10783,1169,44,0,0,0
1380,1545100217043,27069,-1.013541492e+06,643,2432,4170,5711,55,63,45121,10877,1040,39,0,0,0
1390,1545100303976,27101,-1.014385425e+06,730,2409,4195,5778,48,57,45041,10878,1135,23,0,0,0
1400,1545100390443,27113,-1.013507477e+06,759,2452,4098,5634,61,54,45193,10739,1116,29,0,0,0
1410,1545100476516,27107,-1.013284829e+06,719,2345,4174,5671,68,54,45220,10716,1110,29,2,0,0
1420,1545100563493,27170,-1.012570835e+06,736,2262,4106,5705,63,59,45296,10667,1078,36,0,0,0
1430,1545100649610,27110,-1.012623372e+06,698,2292,4201,5649,52,52,45346,10554,1141,36,0,0,0
1440,1545100735121,27132,-1.013214497e+06,713,2282,4115,5785,54,48,45290,10606,1152,29,0,0,0
1450,1545100821083,27259,-1.012545120e+06,682,2264,4125,5699,54,53,45368,10569,1112,28,0,0,0
1460,1545100906928,27141,-1.012463651e+06,753,2335,4050,5696,44,49,45339,10581,1126,30,1,0,0
1470,1545100993049,27065,-1.013033118e+06,749,2295,4139,5751,52,63,45186,10765,1094,32,0,0,0
1480,1545101079203,27083,-1.012958205e+06,875,2357,4184,5458,73,58,45235,10712,1097,33,0,0,0
1490,1545101163894,27244,-1.012565847e+06,799,2305,4088,5515,61,87,45374,10584,1086,33,0,0,0
1500,1545101249239,27262,-1.012080399e+06,804,2330,4009,5622,37,79,45335,10640,1065,37,0,0,0
1510,1545101334624,27217,-1.013718009e+06,878,2391,4141,5636,55,68,45116,10791,1132,38,0,0,0
1520,1545101420853,27189,-1.013559541e+06,863,2381,4068,5666,50,54,45163,10782,1096,36,0,0,0
1530,1545101506671,27096,-1.014433984e+06,865,2346,4244,5678,52,64,45087,10767,1187,36,0,0,0
1540,1545101593056,27080,-1.013953079e+06,911,2296,4162,5690,67,64,45118,10771,1145,43,0,0,0
1550,1545101679358,27146,-1.012229859e+06,745,2269,4151,5615,41,46,45335,10666,1027,49,0,0,0
1560,1545101765297,27229,-1.011375231e+06,661,2299,4099,5618,40,38,45378,10674,994,31,0,0,0
1570,1545101850638,27261,-1.012659053e+06,737,2309,4159,5630,55,66,45269,10701,1066,41,0,0,0
1580,1545101938481,27166,-1.013969057e+06,731,2296,4215,5756,58,57,45146,10790,1100,41,0,0,0
1590,1545102025387,27198,-1.013113161e+06,680,2187,4249,5664,57,49,45346,10609,1089,33,0,0,0
1600,1545102112756,27227,-1.013409278e+06,790,2225,4235,5681,62,51,45201,10745,1094,37,0,0,0
1610,1545102199730,27215,-1.012302052e+06,730,2223,4134,5628,57,62,45367,10626,1045,38,1,0,0
1620,1545102287937,27205,-1.012718366e+06,692,2342,4146,5595,57,63,45331,10630,1083,33,0,0,0
1630,1545102374887,27186,-1.012659877e+06,692,2378,4087,5681,37,40,45257,10754,1037,29,0,0,0
1640,1545102462347,27116,-1.012306032e+06,657,2322,4092,5680,61,63,45330,10654,1058,35,0,0,0
1650,1545102550309,27135,-1.013928198e+06,696,2276,4195,5830,55,78,45161,10741,1136,39,0,0,0
1660,1545102638056,27207,-1.012475960e+06,798,2279,4012,5771,56,50,45242,10734,1071,30,0,0,0
1670,1545102725401,27241,-1.012560741e+06,675,2314,4024,5781,51,66,45336,10600,1112,29,0,0,0
1680,1545102813831,27255,-1.012750506e+06,777,2287,4048,5715,56,65,45305,10628,1113,30,1,0,0
1690,1545102901707,27179,-1.012170295e+06,686,2307,4042,5722,63,49,45335,10641,1075,26,0,0,0
1700,1545102989350,27203,-1.013149029e+06,716,2313,4125,5734,46,59,45267,10652,1133,25,0,0,0
1710,1545103077316,27227,-1.011698389e+06,603,2231,4083,5750,42,60,45426,10558,1068,25,0,0,0
1720,1545103164858,27254,-1.011868490e+06,688,2156,4203,5644,40,62,45365,10651,1041,20,0,0,0
1730,1545103253879,27179,-1.012417961e+06,695,2202,4261,5591,49,64,45397,10538,1103,38,1,0,0
1740,1545103341398,27090,-1.013744073e+06,774,2228,4234,5692,75,68,45214,10702,1115,45,1,0,0
1750,1545103428834,27102,-1.013235884e+06,730,2151,4167,5758,64,66,45281,10688,1076,32,0,0,0
1760,1545103518324,27120,-1.013654783e+06,716,2258,4129,5794,54,88,45134,10871,1048,24,0,0,0
1770,1545103607477,27102,-1.013542759e+06,747,2262,4300,5658,62,66,45162,10780,1090,45,0,0,0
1780,1545103696485,27108,-1.014082261e+06,806,2186,4437,5563,56,67,45162,10751,1128,36,0,0,0
1790,1545103784354,27142,-1.013453613e+06,731,2191,4379,5668,43,57,45172,10774,1098,33,0,0,0
1800,1545103871713,27209,-1.012620819e+06,751,2196,4201,5645,57,67,45299,10672,1073,33,0,0,0
1810,1545103959230,27224,-1.012010179e+06,698,2306,4300,5409,57,56,45426,10513,1101,37,0,0,0
1820,1545104048856,27224,-1.012798054e+06,730,2221,4303,5541,61,48,45301,10689,1046,41,0,0,0
1830,1545104136087,27178,-1.013353013e+06,836,2227,4172,5680,62,55,45262,10646,1121,48,0,0,0
1840,1545104224708,27177,-1.012478108e+06,750,2279,4016,5723,41,68,45339,10631,1075,32,0,0,0
1850,1545104312989,27157,-1.013477526e+06,749,2297,4022,5873,56,59,45211,10709,1124,33,0,0,0
1860,1545104400247,27176,-1.013705188e+06,827,2240,4104,5843,52,60,45141,10783,1117,35,1,0,0
1870,1545104487927,27204,-1.012583901e+06,811,2261,4163,5568,54,46,45323,10637,1085,32,0,0,0
1880,1545104575642,27100,-1.013674162e+06,805,2273,4117,5793,46,52,45176,10753,1112,35,1,0,0
1890,1545104663693,27287,-1.011981691e+06,802,2144,4066,5691,47,66,45385,10606,1048,38,0,0,0
1900,1545104751281,27207,-1.012044196e+06,748,2183,4149,5667,36,59,45387,10573,1082,35,0,0,0
1910,1545104837129,27258,-1.011727819e+06,759,2164,4029,5700,37,56,45473,10487,1093,24,0,0,0
1920,1545104924613,27196,-1.012652812e+06,703,2182,4269,5635,49,65,45317,10649,1079,32,0,0,0
1930,1545105011569,27116,-1.014067936e+06,744,2264,4308,5741,60,63,45121,10769,1150,37,0,0,0
1940,1545105097838,27112,-1.013604912e+06,831,2289,4219,5708,42,46,45157,10742,1141,37,0,0,0
1950,1545105185605,27141,-1.013262694e+06,729,2295,4323,5586,58,51,45211,10717,1122,27,0,0,0
1960,1545105271458,27135,-1.013705704e+06,826,2328,4391,5425,48,43,45237,10658,1143,39,0,0,0
1970,1545105357474,27171,-1.012327560e+06,694,2336,4285,5466,48,43,45352,10599,1105,21,0,0,0
1980,1545105443289,27140,-1.013398838e+06,682,2375,4244,5611,46,49,45221,10751,1059,46,0,0,0
1990,1545105529718,27168,-1.013402450e+06,755,2472,4121,5576,51,59,45248,10667,1119,43,0,0,0
2000,1545105616514,27179,-1.013486167e+06,803,2379,4202,5610,52,40,45163,10774,1109,30,1,0,0
2010,1545105702691,27169,-1.012523744e+06,670,2280,4246,5544,52,58,45395,10543,1110,29,0,0,0
2020,1545105788511,27119,-1.012865422e+06,724,2307,4212,5649,49,68,45245,10682,1123,27,0,0,0
2030,1545105874583,27209,-1.011499122e+06,758,2309,4063,5559,48,47,45408,10596,1031,42,0,0,0
2040,1545105961390,27190,-1.012673592e+06,871,2265,4203,5490,57,55,45286,10670,1093,27,1,0,0
2050,1545106047794,27277,-1.012554445e+06,810,2281,4198,5565,45,47,45293,10660,1087,36,1,0,0
2060,1545106136032,27237,-1.012313458e+06,761,2229,4268,5466,70,54,45379,10578,1090,30,0,0,0
2070,1545106225219,27288,-1.011349478e+06,782,2213,4189,5422,50,67,45516,10436,1088,37,0,0,0
2080,1545106312237,27167,-1.013237911e+06,783,2232,4230,5683,56,52,45222,10711,1107,37,0,0,0
2090,1545106398180,27043,-1.013067951e+06,777,2283,4212,5599,62,45,45223,10753,1078,23,0,0,0
2100,1545106485305,27108,-1.012806770e+06,755,2223,4263,5572,47,64,45321,10633,1078,45,0,0,0
2110,1545106571518,27127,-1.013372001e+06,785,2279,4184,5585,49,80,45296,10635,1111,35,0,0,0
2120,1545106660912,27183,-1.012250401e+06,850,2310,4098,5527,45,63,45333,10628,1083,33,0,0,0
2130,1545106747855,27210,-1.013140201e+06,810,2349,4152,5585,54,53,45258,10679,1096,44,0,0,0
2140,1545106834508,27190,-1.013650344e+06,799,2324,4100,5664,60,77,45259,10656,1119,42,1,0,0
2150,1545106921950,27162,-1.012920826e+06,856,2293,4227,5504,48,55,45238,10737,1061,40,1,0,0
2160,1545107008540,27170,-1.012681004e+06,722,2193,4221,5677,58,51,45283,10702,1057,34,1,0,0
2170,1545107095244,27117,-1.012201716e+06,702,2214,4066,5806,42,57,45343,10614,1087,33,0,0,0
2180,1545107182651,27226,-1.011823799e+06,678,2244,4134,5617,61,58,45447,10502,1094,34,0,0,0
2190,1545107269117,27153,-1.012924107e+06,815,2226,4193,5638,47,72,45229,10737,1079,32,0,0,0
2200,1545107359312,27265,-1.011915446e+06,756,2229,4232,5452,58,56,45379,10647,1017,34,0,0,0
2210,1545107446991,27115,-1.013055255e+06,821,2220,4315,5542,49,44,45264,10678,1092,43,0,0,0
2220,1545107536586,27186,-1.013310099e+06,826,2316,4188,5617,56,54,45201,10734,1104,37,1,0,0
2230,1545107625031,27204,-1.013043719e+06,833,2259,4097,5670,58,51,45240,10743,1057,37,0,0,0
2240,1545107711762,27130,-1.012960740e+06,766,2304,4215,5538,47,63,45277,10700,1067,33,0,0,0
2250,1545107797872,27132,-1.013066014e+06,699,2314,4115,5731,52,65,45239,10747,1044,47,0,0,0
2260,1545107884307,27201,-1.012444143e+06,700,2273,4072,5722,44,69,45351,10603,1092,31,0,0,0
2270,1545107970286,27190,-1.012434990e+06,646,2250,4034,5883,64,62,45308,10637,1094,38,0,0,0
2280,1545108056721,27122,-1.012944972e+06,715,2210,4172,5814,63,56,45226,10707,1109,35,0,0,0
2290,1545108145172,27170,-1.012413371e+06,697,2061,4135,5906,56,65,45331,10613,1094,37,2,0,0
2300,1545108233477,27166,-1.012857839e+06,756,2230,3901,5925,69,53,45290,10675,1078,33,1,0,0
2310,1545108321316,27039,-1.012943592e+06,719,2237,3988,5900,64,54,45261,10705,1076,35,0,0,0
