iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
1740,29463,9107,9958,6607,1570,295,64,10,3,0,0,0,0
1750,29439,9125,9986,6587,1571,289,71,8,1,0,0,0,0
1760,29518,9087,9908,6557,1618,317,60,10,2,0,0,0,0
1770,29502,9080,9953,6546,1616,307,60,11,1,1,0,0,0
1780,29520,9091,9936,6509,1619,323,60,16,3,0,0,0,0
1790,29521,9063,9926,6569,1623,299,68,5,2,1,0,0,0
1800,29527,9040,9937,6597,1602,298,60,14,2,0,0,0,0
1810,29558,9003,9980,6541,1600,298,80,15,2,0,0,0,0
1820,29474,9099,9973,6576,1569,305,66,13,2,0,0,0,0
1830,29546,9005,9920,6660,1576,292,61,14,3,0,0,0,0
1840,29526,9021,9969,6604,1571,306,69,10,1,0,0,0,0
1850,29516,9040,9993,6510,1667,273,62,12,4,0,0,0,0
1860,29517,9120,9894,6512,1647,296,76,12,2,1,0,0,0
1870,29568,8985,9958,6570,1618,294,66,16,2,0,0,0,0
1880,29550,9038,9904,6609,1588,297,73,15,3,0,0,0,0
1890,29510,9043,10014,6527,1600,295,69,16,3,0,0,0,0
1900,29560,9015,9902,6620,1600,296,73,8,3,0,0,0,0
1910,29663,8842,9930,6677,1578,308,63,14,2,0,0,0,0
1920,29580,8971,9959,6605,1542,335,69,12,4,0,0,0,0
1930,29588,9015,9904,6542,1626,306,82,10,4,0,0,0,0
1940,29590,8974,9945,6537,1664,280,68,14,5,0,0,0,0
1950,29601,9015,9894,6529,1616,331,72,16,3,0,0,0,0
1960,29636,8919,9907,6591,1647,298,62,15,2,0,0,0,0
1970,29633,8986,9798,6641,1626,307,72,11,3,0,0,0,0
1980,29673,8891,9898,6589,1619,315,75,15,1,1,0,0,0
1990,29674,8886,9877,6646,1590,306,80,15,3,0,0,0,0
2000,29608,8940,9902,6653,1596,294,69,14,1,0,0,0,0
2010,29601,8983,9841,6694,1559,315,70,13,1,0,0,0,0
2020,29604,8969,9917,6573,1621,303,75,14,1,0,0,0,0
2030,29560,8987,9941,6622,1595,284,76,10,2,0,0,0,0
2040,29662,8912,9824,6682,1610,306,67,13,1,0,0,0,0
2050,29581,8984,9875,6686,1583,270,84,13,1,0,0,0,0
2060,29612,9010,9775,6702,1587,303,71,14,3,0,0,0,0
2070,29610,9008,9807,6653,1608,300,76,12,3,0,0,0,0
2080,29647,8981,9791,6620,1650,300,67,16,5,0,0,0,0
2090,29701,8902,9820,6602,1632,338,66,13,3,0,0,0,0
2100,29731,8849,9832,6616,1632,331,71,13,2,0,0,0,0
2110,29748,8834,9808,6627,1660,304,87,8,1,0,0,0,0
2120,29701,8919,9748,6687,1613,319,77,12,1,0,0,0,0
2130,29699,8860,9840,6690,1582,314,78,11,3,0,0,0,0
2140,29688,8881,9787,6769,1545,323,71,10,3,0,0,0,0
2150,29790,8782,9746,6713,1657,314,61,12,2,0,0,0,0
2160,29729,8857,9796,6643,1666,298,74,11,3,0,0,0,0
2170,29689,8937,9764,6658,1613,326,76,12,2,0,0,0,0
2180,29736,8868,9760,6675,1630,317,82,5,4,0,0,0,0
2190,29744,8883,9730,6661,1648,319,81,10,1,0,0,0,0
2200,29758,8817,9770,6674,1680,301,69,5,3,0,0,0,0
2210,29718,8836,9786,6742,1629,281,75,8,2,0,0,0,0
2220,29733,8836,9826,6646,1613,346,71,5,1,0,0,0,0
2230,29694,8905,9786,6659,1642,310,67,9,5,0,0,0,0
2240,29719,8865,9770,6698,1651,292,65,13,3,1,0,0,0
2250,29766,8813,9728,6767,1608,308,77,7,3,0,0,0,0
2260,29733,8833,9789,6683,1668,291,71,8,1,0,0,0,0
2270,29751,8787,9839,6662,1664,290,71,10,3,0,0,0,0
2280,29708,8861,9830,6639,1664,289,68,15,2,1,0,0,0
2290,29721,8811,9868,6654,1633,316,65,7,1,1,0,0,0
2300,29753,8792,9829,6679,1634,299,82,5,4,0,0,0,0
2310,29774,8814,9781,6619,1706,299,70,9,3,2,0,0,0
2320,29759,8830,9767,6651,1678,313,72,5,2,0,0,0,0
2330,29758,8831,9771,6656,1670,303,77,9,2,0,0,0,0
2340,29764,8845,9740,6666,1659,317,72,11,3,0,0,0,0
2350,29720,8863,9806,6641,1662,298,70,15,2,0,0,0,0
2360,29697,8846,9899,6605,1636,308,71,12,3,0,0,0,0
2370,29677,8912,9822,6633,1649,301,63,17,3,0,0,0,0
2380,29759,8801,9800,6688,1642,303,65,14,4,1,0,0,0
2390,29781,8782,9767,6722,1643,292,70,17,3,0,0,0,0
2400,29715,8941,9661,6722,1648,305,65,19,1,0,0,0,0
2410,29783,8741,9810,6716,1661,292,58,12,4,0,0,0,0
2420,29763,8785,9794,6698,1674,284,62,15,1,1,0,0,0
2430,29796,8756,9772,6721,1656,286,72,16,2,0,0,0,0
2440,29775,8815,9725,6741,1631,298,72,17,3,0,0,0,0
2450,29764,8830,9734,6717,1648,290,75,16,3,0,0,0,0
2460,29792,8817,9703,6708,1667,299,72,17,2,0,0,0,0
2470,29837,8732,9773,6657,1671,317,76,10,3,1,0,0,0
2480,29856,8712,9723,6731,1661,302,77,10,5,0,0,0,0
2490,29774,8780,9793,6700,1638,307,74,8,3,0,0,0,0
2500,29812,8767,9749,6689,1661,312,70,15,2,0,0,0,0
2510,29835,8736,9752,6666,1705,301,64,15,2,1,0,0,0
2520,29775,8769,9858,6626,1636,334,57,18,4,0,0,0,0
2530,29802,8764,9789,6646,1674,326,62,13,1,0,0,0,0
2540,29810,8771,9768,6644,1679,329,56,19,1,0,0,0,0
2550,29769,8833,9763,6617,1713,299,66,12,5,0,0,0,0
2560,29822,8708,9853,6624,1672,312,62,21,3,0,0,0,0
2570,29794,8764,9822,6633,1667,307,66,21,3,0,0,0,0
2580,29848,8729,9798,6563,1734,325,63,12,5,0,0,0,0
2590,29875,8665,9831,6605,1688,316,80,13,4,0,0,0,0
2600,29852,8690,9832,6586,1708,334,64,9,2,0,0,0,0
2610,29796,8797,9797,6556,1730,321,70,7,3,0,0,0,0
2620,29817,8757,9801,6593,1698,332,70,5,4,0,0,0,0
2630,29799,8805,9775,6587,1703,320,70,15,3,0,0,0,0
2640,29799,8796,9818,6527,1721,335,65,13,3,0,0,0,0
2650,29767,8827,9811,6559,1707,328,64,13,1,0,0,0,0
2660,29786,8777,9820,6618,1671,327,60,17,1,0,0,0,0
2670,29798,8787,9757,6646,1701,310,64,12,2,0,0,0,0
2680,29790,8739,9896,6556,1707,300,74,14,1,0,0,0,0
2690,29716,8857,9812,6665,1634,314,62,13,4,0,0,0,0
2700,29747,8829,9821,6603,1688,308,68,8,4,1,0,0,0
2710,29742,8843,9783,6662,1658,307,65,11,6,0,0,0,0
2720,29727,8872,9818,6571,1685,329,57,15,3,0,0,0,0
2730,29751,8852,9802,6602,1645,334,75,13,3,0,0,0,0
2740,29782,8739,9908,6595,1639,321,78,12,3,0,0,0,0
2750,29816,8794,9762,6589,1696,326,80,14,0,0,0,0,0
2760,29773,8822,9779,6623,1675,318,71,16,0,0,0,0,0
2770,29801,8763,9787,6672,1638,339,62,15,0,0,0,0,0
2780,29786,8795,9785,6662,1625,335,74,13,2,0,0,0,0
2790,29750,8835,9793,6632,1679,298,77,12,1,0,0,0,0
2800,29818,8761,9763,6662,1672,310,72,18,1,0,0,0,0
2810,29831,8746,9768,6647,1689,304,69,20,3,0,0,0,0
2820,29883,8684,9749,6678,1665,329,70,16,3,0,0,0,0
2830,29862,8691,9789,6636,1705,303,76,11,4,0,0,0,0
2840,29883,8662,9743,6713,1699,290,68,16,3,0,0,0,0
2850,29920,8571,9837,6655,1709,292,83,7,3,0,0,0,0
2860,29888,8605,9833,6716,1621,327,73,11,3,0,0,0,0
2870,29956,8556,9794,6693,1649,339,70,18,1,1,0,0,0
2880,29902,8647,9797,6597,1729,319,70,14,2,0,0,0,0
2890,29940,8635,9745,6628,1686,352,78,10,2,0,1,0,0
2900,29921,8625,9784,6646,1681,324,75,17,3,1,0,0,0
2910,29944,8574,9804,6652,1692,316,77,16,1,1,0,0,0
2920,29961,8598,9762,6619,1706,328,90,10,3,0,0,0,0
2930,29926,8670,9717,6621,1710,346,70,16,1,0,0,0,0
2940,29992,8563,9744,6639,1703,343,74,15,3,1,0,0,0
2950,29995,8602,9640,6705,1710,335,69,17,4,0,0,0,0
2960,29971,8632,9664,6668,1720,322,83,12,4,1,0,0,0
2970,29885,8755,9654,6628,1754,309,77,13,2,0,0,0,0
2980,29917,8679,9700,6648,1729,307,78,17,2,0,0,0,0
2990,29834,8779,9694,6678,1693,306,79,12,2,0,0,0,0
3000,29933,8619,9756,6659,1689,331,74,14,2,0,0,0,0
3010,29933,8624,9767,6605,1752,296,87,10,3,0,0,0,0
3020,29833,8796,9722,6606,1701,323,77,15,3,1,0,0,0
3030,29815,8828,9693,6642,1681,318,81,15,4,0,0,0,0
3040,29781,8775,9889,6529,1687,330,70,11,3,2,0,0,0
3050,29785,8826,9784,6579,1687,324,68,22,2,0,0,0,0
3060,29781,8826,9774,6597,1701,304,74,16,4,0,0,0,0
3070,29832,8762,9777,6593,1695,330,69,14,5,0,0,0,0
3080,29821,8763,9786,6600,1704,310,77,14,2,0,0,0,0
3090,29796,8818,9775,6562,1703,339,72,12,0,0,0,0,0
3100,29836,8727,9831,6550,1725,325,68,15,0,0,0,0,0
3110,29862,8681,9851,6559,1710,326,72,13,3,0,0,0,0
