iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-age,aggDist-gender,aggDist-zip_code,aggDist-first_name,aggDist-middle_name,aggDist-last_name,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
700,1545175951893,323246,-1.790987519e+07,2652,1360,240833,7084,45507,32172,166289,236520,42934,2344,47,0,0
710,1545175967940,322840,-1.791353580e+07,2503,1333,241059,7093,46487,32748,165537,236508,43601,2439,49,0,0
720,1545175984133,322436,-1.792601128e+07,2552,1378,241232,6954,47284,32922,165107,236301,44203,2477,46,0,0
730,1545176000055,322094,-1.793583431e+07,2510,1353,241889,7340,47809,33174,164140,236592,44794,2537,71,0,0
740,1545176016176,321730,-1.793698832e+07,2568,1363,241361,7437,48411,33235,164251,236129,45065,2641,47,1,0
750,1545176032209,321339,-1.794826207e+07,2629,1358,241907,7097,48728,34065,163445,236388,45553,2702,46,0,0
760,1545176048542,320987,-1.796232349e+07,2579,1401,242329,7400,50304,34366,162233,236382,46616,2847,56,0,0
770,1545176064731,320649,-1.797281657e+07,2668,1378,242389,7509,50752,34243,161803,236650,46799,2837,45,0,0
780,1545176080630,320319,-1.797797615e+07,2591,1364,242146,7640,51043,34820,161495,236756,46856,2972,55,0,0
790,1545176096449,319996,-1.798484576e+07,2665,1247,242504,7292,52059,35380,160659,236848,47639,2931,57,0,0
800,1545176112933,319625,-1.798741349e+07,2722,1456,242019,7124,52685,35142,160989,236088,48158,2853,45,1,0
810,1545176129228,319277,-1.799925112e+07,2639,1360,242770,7512,52950,36484,159877,236011,49098,3084,64,0,0
820,1545176145192,318916,-1.800920717e+07,2721,1322,242417,7581,54435,36672,158971,236417,49580,3094,71,1,0
830,1545176161245,318555,-1.801860519e+07,2659,1245,242782,7627,55026,37116,158532,236075,50263,3203,60,1,0
840,1545176177509,318211,-1.802163519e+07,2760,1309,242540,7491,55513,37237,158661,235550,50528,3337,57,1,0
850,1545176193813,317881,-1.802880611e+07,2707,1368,242603,7561,55729,37502,158149,236018,50517,3382,68,0,0
860,1545176210196,317585,-1.804276045e+07,2771,1399,243283,7490,56539,37863,157329,235789,51568,3372,76,0,0
870,1545176226185,317316,-1.804960529e+07,2779,1311,243145,7673,57444,38022,156961,235676,51862,3567,67,1,0
880,1545176242692,317064,-1.804865360e+07,2721,1333,243282,7882,57516,38292,156469,235978,52097,3506,84,0,0
890,1545176258791,316753,-1.806353720e+07,2810,1425,243557,7896,59367,38530,155291,235822,53368,3585,68,0,0
900,1545176275570,316441,-1.806868863e+07,2733,1301,243650,8154,59074,39052,155137,235836,53427,3663,70,1,0
910,1545176291507,316153,-1.806635528e+07,2813,1277,242941,7775,60057,38984,155423,235395,53572,3668,76,0,0
920,1545176308215,315841,-1.807828800e+07,2847,1322,243042,8026,60723,39423,154816,235161,54322,3762,73,0,0
930,1545176324067,315525,-1.808534977e+07,2788,1410,243509,8169,60893,39493,154150,235642,54475,3798,69,0,0
940,1545176340308,315251,-1.808847659e+07,2793,1232,243910,8050,61281,40188,153597,235695,54850,3910,81,1,0
950,1545176356404,314923,-1.809357187e+07,2854,1256,242961,8030,62184,40308,154071,234584,55516,3876,86,1,0
960,1545176372770,314669,-1.810676964e+07,2849,1398,243535,8145,62602,40850,152925,235215,55903,4007,83,1,0
970,1545176389157,314410,-1.810191506e+07,2982,1132,243802,8153,63262,40106,152954,235072,56043,3981,84,0,0
980,1545176405434,314128,-1.811151626e+07,2776,1250,244087,8206,62798,41036,152546,235168,56361,3973,86,0,0
990,1545176421493,313906,-1.812288530e+07,2881,1309,243702,8162,64532,41484,152080,234367,57447,4151,89,0,0
1000,1545176438265,313624,-1.812742699e+07,2913,1284,244121,8421,64236,41578,151412,235199,57283,4172,68,0,0
1010,1545176454044,313319,-1.813470558e+07,2775,1392,243810,8657,65558,41929,150941,234646,58264,4186,96,1,0
1020,1545176470093,313087,-1.813602134e+07,2886,1344,243702,8393,65732,41861,151066,234745,57887,4345,91,0,0
1030,1545176486123,312826,-1.814226859e+07,2831,1346,243777,8696,66556,42178,150422,234561,58718,4346,86,1,0
1040,1545176502389,312541,-1.815122894e+07,2982,1325,244168,8655,66732,42591,149850,234704,59082,4408,89,1,0
1050,1545176518509,312332,-1.815213249e+07,3004,1312,243077,8705,67930,42816,150289,233473,59850,4417,105,0,0
1060,1545176535145,312079,-1.816163951e+07,2957,1288,244195,8847,67775,43201,149306,234133,60048,4556,89,2,0
1070,1545176551647,311837,-1.816472164e+07,2945,1283,243767,8577,68222,43422,149320,234180,59966,4570,96,2,0
1080,1545176567658,311636,-1.817597179e+07,2931,1338,244518,8910,68859,43733,148436,233973,60943,4698,84,0,0
1090,1545176583735,311411,-1.817553490e+07,2979,1273,244262,8938,69485,43840,148400,233755,61028,4839,111,1,0
1100,1545176600702,311148,-1.818269286e+07,2989,1322,244082,9159,69779,44604,147754,233819,61672,4785,103,1,0
1110,1545176616628,310932,-1.819031719e+07,2975,1287,244706,8794,70637,44158,147214,234308,61675,4849,88,0,0
1120,1545176632980,310730,-1.818615318e+07,2879,1309,244271,8889,70855,44097,147876,233339,61890,4936,92,1,0
1130,1545176649033,310517,-1.819268639e+07,2953,1306,244453,8999,70955,44213,147159,234135,61869,4878,93,0,0
1140,1545176665225,310327,-1.819794681e+07,3130,1250,244224,9044,71035,44358,147261,233772,62142,4851,108,0,0
1150,1545176681388,310077,-1.820045777e+07,3026,1256,244509,8964,71732,44383,147018,233577,62418,5027,94,0,0
1160,1545176697605,309905,-1.820260597e+07,3062,1263,243965,9027,72382,44791,146848,233246,62989,4940,109,2,0
1170,1545176713474,309710,-1.821259243e+07,2963,1234,244736,9433,72868,44589,145748,234169,63094,5027,95,1,0
