iteration,0,1,2,3,4,5,6,7,8,9,10,11
211360,162173,136337,138203,10395,937,77,11,1,0,0,0,0
211370,162172,136338,138187,10424,929,70,14,0,0,0,0,0
211380,162161,136405,138093,10452,941,69,13,0,0,0,0,0
211390,162218,136286,138169,10425,959,64,12,1,0,0,0,0
211400,162223,136248,138231,10400,948,72,12,0,0,0,0,0
211410,162201,136257,138281,10359,954,73,7,1,1,0,0,0
211420,162167,136392,138096,10465,930,70,13,1,0,0,0,0
211430,162233,136247,138196,10438,931,78,10,1,0,0,0,0
211440,162202,136303,138179,10437,915,87,10,1,0,0,0,0
211450,162216,136314,138104,10478,941,72,9,0,0,0,0,0
211460,162208,136291,138171,10456,916,85,6,0,1,0,0,0
211470,162181,136323,138192,10426,923,77,12,0,0,0,0,0
211480,162239,136196,138285,10399,917,85,13,0,0,0,0,0
211490,162204,136260,138258,10389,933,81,9,0,0,0,0,0
211500,162240,136184,138295,10394,937,74,10,0,0,0,0,0
211510,162229,136237,138242,10387,955,74,8,2,0,0,0,0
211520,162253,136153,138337,10356,948,76,10,1,0,0,0,0
211530,162237,136189,138291,10398,938,69,12,0,0,0,0,0
211540,162259,136147,138313,10401,927,73,13,1,0,0,0,0
211550,162264,136189,138236,10410,945,78,11,1,0,0,0,0
211560,162229,136191,138304,10405,919,74,10,2,0,0,0,0
211570,162223,136206,138319,10359,938,74,14,1,0,0,0,0
211580,162218,136221,138316,10343,943,80,11,2,0,0,0,0
211590,162270,136155,138301,10365,953,75,10,5,0,0,0,0
211600,162291,136167,138201,10452,929,76,14,3,1,0,0,0
211610,162305,136151,138190,10462,932,78,14,1,1,0,0,0
211620,162300,136151,138197,10462,934,76,11,3,0,0,0,0
211630,162299,136129,138244,10435,935,80,12,0,0,0,0,0
211640,162316,136103,138260,10408,961,73,13,0,0,0,0,0
211650,162371,136036,138232,10453,951,78,11,1,1,0,0,0
211660,162300,136097,138308,10394,951,69,15,0,0,0,0,0
211670,162319,136074,138306,10398,947,76,12,2,0,0,0,0
211680,162385,136001,138276,10410,970,81,11,0,0,0,0,0
211690,162281,136167,138248,10391,950,85,11,1,0,0,0,0
211700,162325,136070,138313,10373,960,81,10,2,0,0,0,0
211710,162296,136126,138275,10397,945,84,10,1,0,0,0,0
211720,162375,136043,138219,10447,949,90,11,0,0,0,0,0
211730,162405,136024,138195,10438,971,85,15,1,0,0,0,0
211740,162380,136047,138221,10413,977,80,14,2,0,0,0,0
211750,162418,135997,138197,10463,957,87,14,1,0,0,0,0
211760,162436,135974,138197,10464,957,92,12,2,0,0,0,0
211770,162471,135917,138202,10476,966,92,9,1,0,0,0,0
211780,162457,135927,138213,10468,980,78,10,1,0,0,0,0
211790,162460,135924,138173,10547,938,82,9,1,0,0,0,0
211800,162463,135929,138158,10557,937,75,10,5,0,0,0,0
211810,162447,135938,138204,10509,933,91,10,2,0,0,0,0
211820,162438,135959,138197,10491,952,84,11,2,0,0,0,0
211830,162463,135918,138193,10527,930,90,12,1,0,0,0,0
211840,162437,135987,138145,10525,936,89,13,1,1,0,0,0
211850,162394,136052,138132,10525,930,86,13,1,1,0,0,0
211860,162384,136062,138154,10490,945,84,12,2,1,0,0,0
211870,162396,136092,138056,10546,950,77,13,3,1,0,0,0
211880,162388,136085,138084,10540,943,80,11,1,2,0,0,0
211890,162340,136132,138133,10499,935,77,14,3,0,1,0,0
211900,162320,136123,138224,10420,950,83,12,1,0,1,0,0
211910,162318,136149,138173,10456,937,86,13,1,1,0,0,0
211920,162282,136241,138090,10492,928,84,15,1,1,0,0,0
211930,162303,136170,138167,10464,929,86,14,0,1,0,0,0
211940,162390,136059,138137,10504,947,84,11,1,1,0,0,0
