iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
1390,28887,9795,10124,6460,1479,268,52,10,2,0,0,0,0
1400,28857,9857,10069,6531,1415,279,53,12,4,0,0,0,0
1410,28912,9779,10139,6400,1500,281,52,10,3,1,0,0,0
1420,28890,9772,10166,6450,1462,264,57,15,1,0,0,0,0
1430,28918,9764,10124,6454,1464,284,58,9,2,0,0,0,0
1440,28937,9752,10118,6410,1519,272,62,6,0,1,0,0,0
1450,28921,9728,10210,6364,1508,283,53,8,2,0,0,0,0
1460,28904,9780,10191,6328,1524,282,52,15,1,0,0,0,0
1470,28884,9826,10118,6387,1543,249,57,9,4,0,0,0,0
1480,28944,9744,10132,6378,1540,276,49,11,3,0,0,0,0
1490,28982,9725,10058,6450,1518,274,51,15,3,1,0,0,0
1500,28956,9706,10089,6526,1459,280,50,9,2,0,0,0,0
1510,29008,9616,10132,6516,1462,272,57,13,1,0,0,0,0
1520,29024,9591,10123,6545,1458,262,56,17,1,0,0,0,0
1530,29047,9573,10147,6472,1490,272,61,12,3,0,0,0,0
1540,29000,9589,10210,6454,1494,268,47,12,3,0,0,0,0
1550,29076,9497,10188,6482,1492,274,57,10,1,0,0,0,0
1560,29093,9531,10090,6514,1507,272,57,10,3,0,0,0,0
1570,29110,9481,10168,6444,1531,270,60,10,3,0,0,0,0
1580,29094,9524,10047,6576,1525,249,49,12,1,0,0,0,0
1590,29100,9469,10152,6519,1524,240,61,11,1,0,0,0,0
1600,29158,9448,10085,6520,1517,275,64,8,2,0,0,0,0
1610,29125,9485,10079,6534,1518,270,55,8,3,0,0,0,0
1620,29098,9505,10099,6563,1458,288,54,8,3,1,0,0,0
1630,29063,9567,10085,6540,1478,271,61,9,3,0,0,0,0
1640,29067,9535,10137,6499,1520,240,66,9,4,0,0,0,0
1650,29080,9524,10150,6447,1543,270,54,8,0,0,1,0,0
1660,29088,9519,10118,6544,1440,295,57,15,1,0,0,0,0
1670,29107,9448,10184,6513,1488,263,65,8,0,1,0,0,0
1680,29110,9485,10067,6639,1423,286,55,9,2,0,1,0,0
1690,29080,9483,10184,6504,1511,237,64,12,1,1,0,0,0
1700,29117,9488,10146,6461,1508,276,66,14,1,0,0,0,0
1710,29118,9479,10145,6489,1491,272,65,17,1,0,0,0,0
1720,29184,9418,10101,6498,1509,292,63,9,1,2,0,0,0
1730,29096,9559,10059,6527,1453,306,66,7,4,0,0,0,0
1740,29040,9592,10098,6542,1462,258,71,13,1,0,0,0,0
1750,29158,9464,10034,6560,1522,270,58,9,2,0,0,0,0
1760,29132,9489,10060,6549,1506,264,65,10,1,1,0,0,0
1770,29136,9471,10103,6495,1538,258,64,9,2,0,1,0,0
1780,29141,9494,10072,6477,1567,235,76,13,1,0,1,0,0
1790,29181,9385,10120,6544,1508,263,60,15,1,0,0,0,0
1800,29222,9428,10015,6498,1543,287,72,10,2,0,0,0,0
1810,29218,9368,10080,6512,1572,254,60,10,2,1,0,0,0
1820,29183,9390,10096,6539,1558,236,61,13,0,1,0,0,0
1830,29166,9413,10103,6521,1563,237,64,6,4,0,0,0,0
1840,29219,9394,10065,6469,1596,257,64,12,0,1,0,0,0
1850,29231,9387,10020,6536,1568,256,64,14,1,0,0,0,0
1860,29250,9364,10044,6507,1561,273,58,14,5,1,0,0,0
1870,29211,9442,10020,6470,1584,275,57,14,3,0,1,0,0
1880,29229,9390,10038,6523,1542,274,66,12,3,0,0,0,0
1890,29227,9419,9993,6540,1541,271,70,15,1,0,0,0,0
1900,29207,9414,10061,6509,1515,292,61,16,2,0,0,0,0
1910,29280,9366,10016,6455,1583,295,68,13,1,0,0,0,0
1920,29260,9370,9991,6537,1577,264,61,16,1,0,0,0,0
1930,29251,9382,9942,6605,1565,268,52,12,0,0,0,0,0
1940,29262,9417,9882,6590,1583,277,53,13,0,0,0,0,0
