iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1520,21936,6661,5413,2939,1488,753,313,141,58,26,10,2,2,1,0,0,0,0,0
1530,21779,6866,5423,2920,1475,710,328,132,76,25,6,1,1,1,0,0,0,0,0
1540,21916,6765,5355,2926,1451,724,343,155,71,24,8,3,1,0,1,0,0,0,0
1550,21913,6731,5405,2945,1464,660,357,162,60,22,14,5,3,2,0,0,0,0,0
1560,21901,6707,5464,2907,1490,685,305,174,70,18,14,5,2,1,0,0,0,0,0
1570,21931,6690,5405,2913,1507,747,285,160,64,23,11,4,1,2,0,0,0,0,0
1580,21908,6808,5311,2914,1458,740,369,133,58,28,7,3,4,1,1,0,0,0,0
1590,21917,6673,5465,2921,1473,717,328,137,65,24,19,2,1,1,0,0,0,0,0
1600,21964,6633,5427,2914,1527,690,324,161,65,23,9,5,0,1,0,0,0,0,0
1610,21945,6719,5328,2985,1478,710,320,132,68,31,17,8,1,0,1,0,0,0,0
1620,21913,6747,5421,2885,1444,728,347,142,65,34,10,4,2,1,0,0,0,0,0
1630,21896,6784,5364,2910,1475,735,319,139,71,33,13,4,0,0,0,0,0,0,0
1640,21915,6750,5375,2911,1484,736,325,123,71,29,13,8,3,0,0,0,0,0,0
1650,21992,6706,5313,2937,1470,700,355,142,79,29,17,3,0,0,0,0,0,0,0
1660,21959,6724,5334,2963,1441,713,320,170,70,32,13,3,1,0,0,0,0,0,0
1670,21894,6761,5377,2945,1438,747,324,138,84,28,5,2,0,0,0,0,0,0,0
1680,21914,6735,5342,2963,1472,754,321,141,65,24,8,2,1,0,1,0,0,0,0
1690,21946,6715,5380,2899,1511,695,332,148,58,38,15,4,2,0,0,0,0,0,0
1700,22037,6603,5346,2965,1482,711,331,139,80,29,12,6,2,0,0,0,0,0,0
1710,21856,6733,5479,2948,1440,708,313,157,70,26,8,3,2,0,0,0,0,0,0
1720,21895,6716,5452,2935,1453,685,336,167,64,25,9,4,1,1,0,0,0,0,0
1730,21963,6698,5379,2899,1478,714,337,167,68,31,6,2,1,0,0,0,0,0,0
1740,21893,6759,5412,2878,1486,707,353,163,55,26,7,4,0,0,0,0,0,0,0
1750,21922,6659,5452,2922,1510,703,328,153,54,24,9,3,3,1,0,0,0,0,0
1760,21938,6715,5412,2879,1452,725,378,145,64,21,9,2,1,2,0,0,0,0,0
