iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-IREG,aggDist-SESSO,aggDist-ANASCI,aggDist-STUDIO,aggDist-PAR,aggDist-STACIV,aggDist-PERC,aggDist-CFDIC,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6,recDistortion-7,recDistortion-8
720,1540807915324,17854,-5.757372211e+05,7632,555,137,280,53,163,245,70,30901,8552,287,3,0,0,0,0,0
730,1540807919631,18003,-5.744832887e+05,7470,503,151,267,61,153,233,89,31088,8386,266,3,0,0,0,0,0
740,1540807924747,17838,-5.755183175e+05,7545,474,166,253,54,140,293,81,31004,8476,259,4,0,0,0,0,0
750,1540807928997,17996,-5.748959493e+05,7456,415,159,277,65,151,314,84,31085,8396,261,1,0,0,0,0,0
760,1540807934343,17930,-5.749073676e+05,7612,436,145,275,47,143,255,76,31010,8483,244,6,0,0,0,0,0
770,1540807938332,17869,-5.759184018e+05,7699,438,149,259,68,122,278,91,30875,8636,228,4,0,0,0,0,0
780,1540807943270,17803,-5.752661571e+05,7676,444,144,267,48,120,233,79,30996,8487,256,4,0,0,0,0,0
790,1540807947438,17925,-5.759839695e+05,7660,469,141,309,63,134,269,89,30867,8620,254,2,0,0,0,0,0
800,1540807953156,17848,-5.754535322e+05,7700,428,166,293,62,131,245,77,30896,8595,249,3,0,0,0,0,0
810,1540807957323,17772,-5.763718201e+05,7816,463,160,294,54,134,256,71,30752,8735,255,1,0,0,0,0,0
820,1540807962600,17866,-5.760568262e+05,7872,431,118,322,41,126,274,65,30748,8744,248,3,0,0,0,0,0
830,1540807966898,17880,-5.761270309e+05,7789,458,141,270,72,132,259,79,30859,8570,312,2,0,0,0,0,0
840,1540807972022,17762,-5.769789431e+05,7908,456,137,308,50,137,279,67,30684,8780,275,4,0,0,0,0,0
850,1540807976260,17745,-5.773339914e+05,8112,458,101,325,54,132,239,69,30506,8988,245,4,0,0,0,0,0
860,1540807981619,17841,-5.767799755e+05,7984,468,130,295,64,142,265,78,30603,8855,284,1,0,0,0,0,0
870,1540807985784,17859,-5.766386335e+05,7973,417,165,303,50,131,242,93,30625,8864,252,2,0,0,0,0,0
880,1540807990970,17760,-5.768182874e+05,7754,408,170,329,47,156,282,89,30784,8687,268,4,0,0,0,0,0
890,1540807995173,17810,-5.761338599e+05,7702,422,128,322,51,141,293,67,30866,8631,243,3,0,0,0,0,0
900,1540808001807,17815,-5.766802957e+05,7738,400,180,328,86,105,274,118,30803,8657,277,6,0,0,0,0,0
910,1540808006015,17870,-5.769223310e+05,7781,469,172,319,77,132,272,91,30701,8776,261,5,0,0,0,0,0
920,1540808011327,17773,-5.765241514e+05,7916,398,171,293,52,128,255,71,30716,8771,255,1,0,0,0,0,0
