iteration,0,1,2,3,4,5,6,7,8,9,10
2690,149789,158831,130088,8658,695,65,8,0,0,0,0
2700,149802,158820,130073,8679,680,69,11,0,0,0,0
2710,149874,158690,130087,8740,672,64,7,0,0,0,0
2720,149851,158710,130113,8710,687,58,5,0,0,0,0
2730,149888,158729,129985,8768,697,59,8,0,0,0,0
2740,149890,158705,130018,8763,691,62,5,0,0,0,0
2750,149932,158691,129950,8776,718,59,8,0,0,0,0
2760,149943,158648,129982,8791,708,55,7,0,0,0,0
2770,149936,158616,130063,8751,710,49,9,0,0,0,0
2780,149933,158634,130045,8749,709,57,7,0,0,0,0
2790,150027,158433,130164,8729,726,48,7,0,0,0,0
2800,150021,158512,130038,8777,722,57,7,0,0,0,0
2810,150055,158395,130178,8716,724,57,9,0,0,0,0
2820,150110,158249,130305,8686,711,65,8,0,0,0,0
2830,150076,158312,130256,8715,716,53,6,0,0,0,0
2840,150129,158205,130331,8685,714,64,6,0,0,0,0
2850,150175,158116,130360,8711,702,63,7,0,0,0,0
2860,150187,158076,130403,8693,711,56,7,1,0,0,0
2870,150221,157995,130448,8706,701,57,6,0,0,0,0
2880,150228,158022,130379,8730,714,58,3,0,0,0,0
2890,150258,157988,130380,8713,733,57,5,0,0,0,0
2900,150306,157941,130321,8785,718,55,7,1,0,0,0
2910,150280,157988,130303,8785,713,57,8,0,0,0,0
2920,150318,157937,130266,8859,691,54,9,0,0,0,0
2930,150334,157915,130276,8843,698,62,6,0,0,0,0
2940,150303,157971,130255,8838,706,53,6,2,0,0,0
2950,150353,157856,130342,8808,714,52,9,0,0,0,0
2960,150356,157889,130284,8824,709,64,7,1,0,0,0
2970,150385,157816,130332,8825,710,59,6,0,1,0,0
2980,150394,157781,130369,8825,694,62,9,0,0,0,0
2990,150398,157777,130381,8798,711,58,10,1,0,0,0
3000,150434,157692,130432,8798,714,58,5,0,1,0,0
3010,150505,157560,130467,8840,699,55,7,1,0,0,0
3020,150502,157614,130394,8852,697,63,11,1,0,0,0
3030,150508,157601,130403,8848,696,69,9,0,0,0,0
3040,150537,157586,130329,8915,701,56,9,1,0,0,0
3050,150498,157629,130353,8894,691,61,8,0,0,0,0
3060,150533,157601,130322,8903,703,64,8,0,0,0,0
3070,150533,157600,130329,8891,712,60,8,1,0,0,0
3080,150552,157584,130308,8904,716,62,8,0,0,0,0
3090,150498,157596,130431,8839,699,63,8,0,0,0,0
3100,150533,157577,130355,8907,690,66,6,0,0,0,0
3110,150565,157557,130318,8911,715,61,6,1,0,0,0
3120,150597,157467,130394,8910,687,73,6,0,0,0,0
3130,150643,157379,130423,8921,701,60,7,0,0,0,0
3140,150686,157318,130426,8939,691,62,11,1,0,0,0
3150,150667,157376,130380,8924,721,54,12,0,0,0,0
3160,150658,157347,130465,8871,731,52,10,0,0,0,0
3170,150624,157436,130379,8912,720,55,7,1,0,0,0
3180,150620,157456,130358,8918,713,58,11,0,0,0,0
3190,150653,157392,130423,8852,738,68,8,0,0,0,0
3200,150600,157433,130452,8876,703,63,7,0,0,0,0
3210,150559,157494,130485,8799,722,65,10,0,0,0,0
3220,150594,157416,130507,8843,705,59,10,0,0,0,0
3230,150645,157397,130413,8885,723,62,9,0,0,0,0
3240,150638,157344,130524,8857,693,69,9,0,0,0,0
3250,150683,157328,130442,8884,724,65,7,1,0,0,0
3260,150666,157325,130492,8864,713,63,11,0,0,0,0
3270,150734,157189,130548,8878,718,59,8,0,0,0,0
3280,150767,157144,130545,8900,704,61,12,1,0,0,0
3290,150721,157182,130614,8833,709,63,10,2,0,0,0
3300,150793,157062,130646,8839,720,62,11,1,0,0,0
