iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-age,aggDist-gender,aggDist-zip_code,aggDist-first_name,aggDist-middle_name,aggDist-last_name,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
700,1540689437768,323483,-1.790672649e+07,2665,1286,241684,7097,45609,31361,165977,236997,42807,2321,32,0,0
710,1540689454088,323084,-1.790566489e+07,2504,1392,240971,7094,46203,31545,166239,236501,43015,2338,41,0,0
720,1540689470279,322690,-1.791753051e+07,2593,1422,241439,7066,47066,31751,165170,237155,43284,2486,39,0,0
730,1540689487127,322377,-1.792453017e+07,2530,1393,241459,7135,47557,32542,164725,236801,44052,2513,43,0,0
740,1540689503584,322020,-1.793762424e+07,2632,1378,241244,7541,48481,33053,164052,236583,44795,2660,44,0,0
750,1540689519786,321595,-1.793955275e+07,2562,1392,241931,7256,49000,32711,163601,236949,44895,2643,46,0,0
760,1540689536405,321282,-1.796108150e+07,2617,1452,242159,7418,50508,34047,162019,236928,46347,2781,59,0,0
770,1540689552371,320925,-1.795408818e+07,2620,1376,241519,7524,50370,33616,162869,236254,46321,2632,57,1,0
780,1540689568974,320550,-1.796766023e+07,2708,1361,241921,7420,50825,34269,162095,236516,46639,2826,58,0,0
790,1540689585053,320203,-1.797017546e+07,2617,1380,241567,7239,51374,34914,161975,236323,46785,3006,45,0,0
800,1540689602090,319857,-1.797927350e+07,2668,1310,241667,7578,52667,35100,161266,235870,47934,3004,60,0,0
810,1540689618800,319496,-1.799471742e+07,2586,1346,242019,7582,53155,35687,160543,235921,48611,3005,53,1,0
820,1540689635219,319088,-1.799875469e+07,2703,1279,242460,7542,54436,35555,159692,236119,49159,3118,46,0,0
830,1540689651708,318764,-1.800456191e+07,2662,1349,242606,7693,54793,35787,159232,236207,49470,3157,68,0,0
840,1540689667873,318410,-1.801679262e+07,2669,1355,242435,7460,55931,36243,158764,235989,50117,3186,78,0,0
850,1540689683918,318027,-1.802598330e+07,2751,1457,242466,7858,56217,36954,158107,235791,50862,3308,66,0,0
860,1540689700683,317709,-1.803912770e+07,2702,1414,242807,7855,56566,37961,157402,235662,51628,3381,61,0,0
870,1540689716668,317392,-1.804428762e+07,2737,1346,243347,7684,58611,37560,156150,236274,52176,3477,57,0,0
880,1540689733016,317040,-1.804872329e+07,2762,1308,243216,8057,58206,37819,156458,235741,52243,3627,65,0,0
890,1540689748982,316756,-1.806474701e+07,2873,1300,243472,8259,59233,38320,155656,235227,53593,3588,70,0,0
900,1540689765732,316499,-1.806596062e+07,2812,1223,243204,8551,59088,39078,155375,235410,53582,3686,81,0,0
910,1540689782061,316205,-1.807356184e+07,2793,1330,243066,8219,60802,39317,154599,235411,54336,3709,78,1,0
920,1540689798454,315958,-1.807381870e+07,2790,1392,242187,8322,61199,39411,155070,234678,54608,3705,73,0,0
930,1540689814355,315709,-1.807434135e+07,2706,1384,242926,8543,60784,38869,154881,235176,54277,3718,82,0,0
940,1540689830233,315419,-1.808258004e+07,2772,1328,242929,8412,61651,39723,154327,234823,55033,3878,73,0,0
